country;alphanumiso;state;region;province;district;sector;location_municipality;GID_0;GID_1;GID_2;GID_3;GID_4
Argentina;ARG032;NA;NA;NA;NA;NA;NA;ARG;NA;NA;NA;NA
Australia;AUS036;New South Wales;NA;NA;NA;NA;Muswellbrook;AUS;AUS.5_1;AUS.5.95_1;NA;NA
Australia;AUS036;New South Wales;NA;NA;NA;NA;Singleton;AUS;AUS.5_1;AUS.5.118_1;NA;NA
Australia;AUS036;Western Australia;NA;NA;NA;NA;Collie;AUS;AUS.11_1;AUS.11.27_1;NA;NA
Australia;AUS036;Western Australia;Pilbara;NA;NA;NA;NA;AUS;AUS.11_1;NA;NA;NA
Australia;AUS036;NA;NA;NA;NA;NA;NA;AUS;NA;NA;NA;NA
Brazil;BRA076;NA;Goias;NA;Niquelandia;NA;NA;BRA;BRA.9_1;BRA.9.155_1;NA;NA
Brazil;BRA076;NA;NA;NA;NA;NA;NA;BRA;NA;NA;NA;NA
China;CHN156;Fujian;NA;NA;Wuping;NA;NA;CHN;CHN.4_1;CHN.4.2_1;CHN.4.2.5_1;NA
China;CHN156;Fujian;NA;NA;NA;NA;NA;CHN;CHN.4_1;NA;NA;NA
China;CHN156;Gansu;NA;NA;Lanzhou;NA;NA;CHN;CHN.5_1;CHN.5.7_1;NA;NA
China;CHN156;Gansu;NA;NA;NA;NA;NA;CHN;CHN.5_1;NA;NA;NA
China;CHN156;Guangxi;NA;NA;Daxin;NA;NA;CHN;CHN.7_1;CHN.7.3_1;CHN.7.3.2_1;NA
China;CHN156;Guangxi;NA;NA;Jingxi;NA;NA;CHN;CHN.7_1;CHN.7.1_1;CHN.7.1.3_1;NA
China;CHN156;Guangxi;NA;NA;Tiandeng;NA;NA;CHN;CHN.7_1;CHN.7.3_1;CHN.7.3.7_1;NA
China;CHN156;Guizhou;NA;NA;Qingzhen;NA;NA;CHN;CHN.8_1;CHN.8.3_1;CHN.8.3.3_1;NA
China;CHN156;Guizhou;NA;NA;Zunyi;NA;NA;CHN;CHN.8_1;CHN.8.9_1;NA;NA
China;CHN156;Guizhou;NA;NA;NA;NA;NA;CHN;CHN.8_1;NA;NA;NA
China;CHN156;Henan;NA;NA;Hebi;NA;NA;CHN;CHN.12_1;CHN.12.2_1;NA;NA
China;CHN156;Henan;NA;NA;Jiaozuo;NA;NA;CHN;CHN.12_1;CHN.12.3_1;NA;NA
China;CHN156;Henan;NA;NA;Luoyang;NA;NA;CHN;CHN.12_1;CHN.12.7_1;NA;NA
China;CHN156;Henan;NA;NA;Luoyang city;NA;NA;CHN;CHN.12_1;CHN.12.7_1;CHN.12.7.3_1;NA
China;CHN156;Henan;NA;NA;Pingdingshan;NA;NA;CHN;CHN.12_1;CHN.12.9_1;NA;NA
China;CHN156;Henan;NA;NA;Sanmenxia;NA;NA;CHN;CHN.12_1;CHN.12.11_1;NA;NA
China;CHN156;Henan;NA;NA;Yongcheng city;NA;NA;CHN;CHN.12_1;CHN.12.12_1;CHN.12.12.7_1;NA
China;CHN156;Henan;NA;NA;Zhengzhou;NA;NA;CHN;CHN.12_1;CHN.12.16_1;NA;NA
China;CHN156;Henan;NA;NA;NA;NA;NA;CHN;CHN.12_1;NA;NA;NA
China;CHN156;Inner Mongolia;NA;NA;Ordos City;Dongsheng;NA;CHN;CHN.19_1;CHN.19.7_1;CHN.19.7.2_1;NA
