facility_id,GID_0,GID_1,GID_2,GID_3,GID_4
COM00001.00,CAN,CAN.3_1,CAN.3.13_1,CAN.3.13.2_1,NA
COM00002.00,IND,IND.16_1,IND.16.11_1,IND.16.11.2_1,NA
COM00003.00,USA,USA.27_1,USA.27.2_1,NA,NA
COM00005.00,RUS,RUS.35_1,RUS.35.2_1,RUS.35.2.1_1,NA
COM00006.00,ARG,ARG.1_1,ARG.1.111_1,NA,NA
COM00008.00,ESP,ESP.11_1,ESP.11.1_1,ESP.11.1.10_1,ESP.11.1.10.11_1
COM00011.00,USA,USA.15_1,USA.15.42_1,NA,NA
COM00012.00,AUS,AUS.5_1,AUS.5.83_1,NA,NA
COM00013.00,SWE,SWE.10_1,SWE.10.5_1,NA,NA
COM00014.00,KAZ,KAZ.5_1,KAZ.5.2_1,NA,NA
COM00015.00,KAZ,KAZ.5_1,KAZ.5.2_1,NA,NA
COM00016.00,GHA,GHA.4_1,GHA.4.6_1,NA,NA
COM00017.00,SAU,SAU.9_1,NA,NA,NA
COM00018.00,MEX,MEX.26_1,MEX.26.3_1,NA,NA
COM00019.00,BRA,BRA.14_1,BRA.14.18_1,BRA.14.18.2_1,NA
COM00020.00,RUS,RUS.27_1,RUS.27.13_1,RUS.27.13.1_1,NA
COM00021.00,PRT,PRT.3_1,PRT.3.1_1,PRT.3.1.1_1,NA
COM00022.00,CAN,CAN.11_1,CAN.11.47_1,CAN.11.47.1_1,NA
COM00023.00,CAN,CAN.11_1,CAN.11.94_1,CAN.11.94.17_1,NA
COM00024.00,PER,PER.12_1,PER.12.9_1,PER.12.9.7_1,NA
COM00025.00,JAM,JAM.9_1,NA,NA,NA
COM00026.00,NGA,NGA.3_1,NGA.3.13_1,NA,NA
COM00027.00,ARG,ARG.18_1,ARG.18.3_1,NA,NA
COM00028.00,CHL,CHL.2_1,CHL.2.1_1,CHL.2.1.1_1,NA
COM00029.00,CMR,CMR.5_1,CMR.5.3_1,CMR.5.3.4_1,NA
COM00030.00,BRA,BRA.10_1,BRA.10.187_1,BRA.10.187.1_1,NA
COM00031.00,ARG,ARG.2_1,ARG.2.5_1,NA,NA
COM00032.00,BRA,BRA.14_1,BRA.14.18_1,BRA.14.18.2_1,NA
COM00033.00,ZAF,ZAF.5_1,ZAF.5.5_1,ZAF.5.5.6_1,ZAF.5.5.6.9_1
COM00034.00,BRA,BRA.3_1,BRA.3.10_1,BRA.3.10.1_1,NA
COM00035.00,MDG,MDG.5_1,MDG.5.1_1,MDG.5.1.5_1,MDG.5.1.5.18_1
COM00036.00,IND,IND.10_1,IND.10.1_1,IND.10.1.1_1,NA
COM00037.00,USA,USA.47_1,USA.47.123_1,NA,NA
COM00039.00,USA,USA.49_1,USA.49.8_1,NA,NA
COM00040.00,USA,USA.49_1,USA.49.10_1,NA,NA
COM00041.00,CHL,CHL.16_1,CHL.16.2_1,CHL.16.2.2_1,NA
COM00042.00,BRA,BRA.14_1,BRA.14.49_1,BRA.14.49.1_1,NA
COM00043.00,BRA,BRA.13_1,BRA.13.414_1,BRA.13.414.1_1,NA
COM00044.00,GBR,GBR.4_1,GBR.4.11_1,GBR.4.11.1_1,NA
COM00046.00,IND,IND.26_1,IND.26.1_1,IND.26.1.1_1,NA
COM00047.00,AUS,AUS.5_1,AUS.5.83_1,NA,NA
COM00048.00,PER,PER.2_1,PER.2.10_1,PER.2.10.14_1,NA
COM00049.00,PER,PER.8_1,PER.8.8_1,PER.8.8.4_1,NA
COM00050.00,PER,PER.9_1,PER.9.6_1,PER.9.6.6_1,NA
COM00051.00,BRA,BRA.14_1,BRA.14.42_1,BRA.14.42.1_1,NA
COM00052.00,USA,USA.51_1,USA.51.5_1,NA,NA
COM00053.00,RUS,RUS.27_1,RUS.27.20_1,RUS.27.20.1_1,NA
COM00054.00,CHL,CHL.2_1,CHL.2.3_1,CHL.2.3.1_1,NA
COM00056.00,BRA,BRA.13_1,BRA.13.804_1,BRA.13.804.1_1,NA
COM00057.00,BRA,BRA.13_1,BRA.13.43_1,BRA.13.43.1_1,NA
COM00058.00,DEU,DEU.5_1,DEU.5.1_1,DEU.5.1.1_1,DEU.5.1.1.1_1
COM00059.00,USA,USA.36_1,USA.36.18_1,NA,NA
COM00060.00,DEU,DEU.10_1,DEU.10.8_1,DEU.10.8.1_1,DEU.10.8.1.1_1
COM00061.00,ESP,ESP.16_1,ESP.16.2_1,ESP.16.2.1_1,ESP.16.2.1.27_1
COM00062.00,DEU,DEU.6_1,DEU.6.1_1,DEU.6.1.1_1,DEU.6.1.1.1_1
COM00063.00,BRA,BRA.8_1,BRA.8.70_1,BRA.8.70.2_1,NA
COM00064.00,POL,POL.7_1,POL.7.36_1,POL.7.36.1_1,NA
COM00067.00,AUS,AUS.11_1,AUS.11.137_1,NA,NA
COM00068.00,ZAF,ZAF.6_1,ZAF.6.3_1,ZAF.6.3.4_1,ZAF.6.3.4.27_1
COM00069.00,KAZ,KAZ.5_1,KAZ.5.11_1,NA,NA
COM00070.00,CAN,CAN.11_1,CAN.11.53_1,CAN.11.53.4_1,NA
COM00071.00,IDN,IDN.13_1,IDN.13.12_1,IDN.13.12.5_1,IDN.13.12.5.2_1
COM00072.00,CHN,CHN.28_1,CHN.28.2_1,CHN.28.2.5_1,NA
COM00073.00,KAZ,KAZ.2_1,KAZ.2.7_1,NA,NA
COM00074.00,KAZ,KAZ.9_1,KAZ.9.9_1,NA,NA
COM00075.00,ESP,ESP.1_1,ESP.1.5_1,ESP.1.5.4_1,ESP.1.5.4.6_1
COM00076.00,IRL,IRL.13_1,NA,NA,NA
COM00077.00,AUS,AUS.11_1,AUS.11.37_1,NA,NA
COM00078.00,UKR,UKR.6_1,UKR.6.9_1,NA,NA
COM00079.00,ESP,ESP.17_1,ESP.17.1_1,ESP.17.1.4_1,ESP.17.1.4.2_1
COM00080.00,GHA,GHA.10_1,GHA.10.4_1,NA,NA
COM00081.00,UKR,UKR.6_1,UKR.6.23_1,NA,NA
COM00082.00,BRA,BRA.14_1,BRA.14.90_1,BRA.14.90.1_1,NA
COM00083.00,AUS,AUS.5_1,AUS.5.83_1,NA,NA
COM00084.00,USA,USA.3_1,USA.3.14_1,NA,NA
COM00085.00,CAN,CAN.11_1,CAN.11.72_1,CAN.11.72.1_1,NA
COM00087.00,IDN,IDN.13_1,IDN.13.1_1,IDN.13.1.4_1,IDN.13.1.4.18_1
COM00088.00,USA,USA.29_1,USA.29.17_1,NA,NA
COM00089.00,KAZ,KAZ.9_1,KAZ.9.2_1,NA,NA
COM00090.00,IDN,IDN.15_1,IDN.15.5_1,IDN.15.5.16_1,IDN.15.5.16.1_1
COM00093.00,CHN,CHN.19_1,CHN.19.6_1,CHN.19.6.3_1,NA
COM00096.00,AUS,AUS.7_1,AUS.7.16_1,NA,NA
COM00097.00,BRA,BRA.13_1,BRA.13.60_1,BRA.13.60.1_1,NA
COM00099.00,USA,USA.45_1,USA.45.18_1,NA,NA
COM00100.00,BRA,BRA.9_1,BRA.9.33_1,BRA.9.33.1_1,NA
COM00101.00,IND,IND.29_1,IND.29.8_1,IND.29.8.1_1,NA
COM00102.00,MNG,MNG.15_1,MNG.15.5_1,NA,NA
COM00103.00,RUS,RUS.27_1,RUS.27.10_1,RUS.27.10.1_1,NA
COM00104.00,IDN,IDN.20_1,IDN.20.9_1,IDN.20.9.6_1,IDN.20.9.6.7_1
COM00105.00,IDN,IDN.13_1,IDN.13.11_1,IDN.13.11.9_1,IDN.13.11.9.4_1
COM00107.00,PER,PER.21_1,PER.21.6_1,PER.21.6.5_1,NA
COM00108.00,ZAF,ZAF.4_1,ZAF.4.10_1,ZAF.4.10.5_1,ZAF.4.10.5.12_1
COM00109.00,USA,USA.15_1,USA.15.78_1,NA,NA
COM00110.00,ZAF,ZAF.2_1,ZAF.2.2_1,ZAF.2.2.1_1,ZAF.2.2.1.7_1
COM00111.00,CAN,CAN.11_1,CAN.11.10_1,CAN.11.10.4_1,NA
COM00113.00,USA,USA.49_1,USA.49.41_1,NA,NA
COM00114.00,ZAF,ZAF.8_1,ZAF.8.5_1,ZAF.8.5.6_1,ZAF.8.5.6.6_1
COM00115.00,CHN,CHN.23_1,CHN.23.16_1,CHN.23.16.3_1,NA
COM00116.00,ZAF,ZAF.6_1,ZAF.6.3_1,ZAF.6.3.2_1,ZAF.6.3.2.8_1
COM00117.00,AUS,AUS.9_1,AUS.9.12_1,NA,NA
COM00119.00,KAZ,KAZ.5_1,KAZ.5.5_1,NA,NA
COM00120.00,AUS,AUS.5_1,AUS.5.118_1,NA,NA
COM00121.00,LUX,LUX.3_1,LUX.3.2_1,LUX.3.2.2_1,LUX.3.2.2.1_1
COM00123.00,MOZ,MOZ.10_1,MOZ.10.9_1,MOZ.10.9.2_1,NA
COM00124.00,AUS,AUS.5_1,AUS.5.95_1,NA,NA
COM00125.00,RUS,RUS.27_1,RUS.27.10_1,RUS.27.10.1_1,NA
COM00126.00,RUS,RUS.27_1,RUS.27.24_1,RUS.27.24.1_1,NA
COM00127.00,SWE,SWE.13_1,SWE.13.16_1,NA,NA
COM00128.00,USA,USA.35_1,USA.35.29_1,NA,NA
COM00130.00,GHA,GHA.10_1,GHA.10.4_1,NA,NA
COM00131.00,USA,USA.49_1,USA.49.3_1,NA,NA
COM00132.00,USA,USA.27_1,USA.27.44_1,NA,NA
COM00133.00,USA,USA.45_1,USA.45.18_1,NA,NA
COM00135.00,USA,USA.49_1,USA.49.51_1,NA,NA
COM00136.00,CAN,CAN.3_1,CAN.3.14_1,CAN.3.14.11_1,NA
COM00137.00,USA,USA.15_1,USA.15.28_1,NA,NA
COM00138.00,USA,USA.3_1,USA.3.10_1,NA,NA
COM00139.00,ZAF,ZAF.8_1,ZAF.8.3_1,ZAF.8.3.4_1,ZAF.8.3.4.4_1
COM00140.00,ZAF,ZAF.8_1,ZAF.8.2_1,ZAF.8.2.3_1,ZAF.8.2.3.10_1
COM00141.00,USA,USA.51_1,USA.51.3_1,NA,NA
