source;mine_fac;source_mine_fac
eia;Absaloka;Absaloka Mine
eia;Air Quality;Air Quality #1 Mine
eia;Amonate;Amonate Auger Ii
eia;Antelope;Antelope Coal Mine
eia;Bear Run;Bear Run Mine
eia;Beckley;Beckley Pocahontas Mine
eia;Beckley;Beckley Mine
eia;Beckley;Beckley No. 1 Mine
eia;Belmont;Cravat Strip-Belmont
eia;Belmont;Ccu Belmont Strip
eia;Belmont;Belmont County Strip - Fox Far
eia;Beulah;Beulah Mine
eia;Big Mountain;Big Mountain No 16
eia;Big Sky;Big Sky
eia;Birch River;Birch River Mine
eia;Birdwell/Miller Creek;Miller Creek Mine
eia;Birdwell/Miller Creek;Miller Creek Mine-Sugar Ridge
eia;Black Mesa;Black Mesa Mine
eia;Black Thunder;Black Thunder
eia;Bluegrass;S-27 Bluegrass
eia;Buchanan;Buchanan Mine #1
eia;Buckingham;Buckingham Mine #2
eia;Buckingham;Buckingham Mine
eia;Buckingham;Buckingham  Mine
eia;Caballo;Caballo Mine
eia;Coal Creek;Coal Creek
eia;Colowyo;Colowyo Mine
eia;Colstrip;Rosebud Mine & Crusher/Conveyo
eia;Cordero Rojo;Cordero Rojo Mine
eia;Coyote Creek;Coyote Creek Mine
eia;Darby;D-29 Darby Fork
eia;Darby;Darby # 3
eia;Darby;Darby Mine No 1
eia;Darby;Putney Darby Mine #1
eia;Darby;Darby Road Mine #1
eia;Darby;Middle Splint
eia;Decker;Decker Mine
eia;Dilworth;Dilworth
eia;Eagle;Eagle
eia;Eagle Pass;Eagle Pass Mine
eia;Emery;Emery Mine
eia;Empire;Empire
eia;Falkirk;Falkirk Mine
eia;Farmersburg;Farmersburg Mine
eia;Federal;Federal No 2
eia;Five Forks;Five Forks Mine
eia;Flint Ridge;Flint Ridge Mine
eia;Flint Ridge;Flint Ridge Mine #2
eia;Francisco;Francisco Mine
eia;Francisco;Francisco Underground Pit
eia;Freedom;Freedom
eia;Gateway North;Gateway North Mine
eia;Guston Run;Patriot Mining Company Inc
eia;Haystack;Haystack Coal Company
eia;Hazard;Hazard Job #6
eia;Highland;Highland 9 Mine
eia;Highland;Highland 11 Mine
eia;Humphrey;Humphrey No. 7
eia;Humphrey;Humphrey No. 7 Mine
eia;Jewett;Jewett Mine
eia;Kanawha Eagle;Guyan Mine
eia;Kayenta;Kayenta Mine
eia;Kemmerer;Kemmerer Mine
eia;Keystone;Keystone East
eia;Keystone;S11 Keystone Surface Mine
eia;Knott County mines;Calvary No 81
eia;Knott County mines;Calvary No. 80
eia;Knott County mines;Calvary Mine
eia;Leer;Leer Mine
eia;Leer South/Sentinel;Leer South Mine
eia;Liberty;Liberty
eia;Mahoning Valley;Mahoning Valley No 36
eia;Marshall;Marshall Mine
eia;Meigs;Meigs #31 Mine
eia;Meigs;Meigs #2 Mine
eia;Mettiki Complex;Mountain View Mine
eia;Midland Trail;Midland Trail Mine No. 1
eia;Midland Trail;Midland Trail Mine No. 4
eia;Midland Trail;Midland Trail Mine No 2
eia;Midland Trail;Blue Creek No. 2 Mine
eia;Midland Trail;Blue Creek No. 1 Ug Mine
eia;Miles Branch;Miles Branch Mine
eia;Mill Creek;Mill Creek Surface
eia;Mill Creek;Mill Creek 1
eia;Mill Creek;Mill Creek #1 Surface Mine
eia;Mill Creek;Mill Creek Mining, Inc. #1 Str
eia;Mine 84;Mine 84
eia;Mt Sterling;Mount Sterling Branch
eia;Muskingum;Muskingum  Mine
eia;Navajo;Navajo Mine
eia;Noble;Noble Mine #1
eia;Noble;Noble Mine # 2
eia;Noble;Noble Mine #2
eia;North Antelope Rochelle;North Antelope Rochelle Mine
eia;Oak Grove;Oak Grove Mine
eia;Panther;D-11 Panther
eia;Panther;Panther Mine #4a
eia;Phoenix;Phoenix
eia;Raven;Raven Mine #2
eia;Raven;Raven Mine #1
eia;Rawhide;Rawhide Mine
eia;Red Hills;Red Hills Mine
eia;Remington;Stockburg No 2
eia;River View Complex;River View Carbon Recovery
eia;Round Mountain;Round Mountain
eia;San Juan;San Juan Mine And Plant
eia;San Juan;San Juan Mine 1
eia;San Miguel;San Miguel Lignite Mine
eia;Savage;Savage Mine
eia;Seneca;Seneca
eia;Shoal Creek;Shoal Creek Mine
eia;Skyline;Skyline Mine #3
eia;Somerville;Somerville
eia;South Hallsville No. 1;South Hallsville No 1 Mine
eia;Spring Creek;Spring Creek Coal Company
eia;Sufco;Sufco
eia;Tuscarawas;Ccu Tuscarawas Strip
eia;Tusky;Tusky
eia;Viking;Viking Mine - Corning Pit
eia;Viking;Viking Mine - Knox Pit
eia;Vindex;Vindex Douglas
eia;Viper;Viper Mine
eia;VP-8;Vp 8
eia;Wells;Campbells Creek 11b Mine
eia;Wells;Campbells Creek No 4
eia;Wells;Campbells Creek No 10 Mine
eia;Wells;Campbells Creek No 7 Mine
eia;West Elk;West Elk Mine
eia;Wild Boar;Wild Boar Mine
eia;Windsor;Windsor Mine
