source_cat;source_country;alphanumiso;country
detailed;Afghanistan;AFG004;Afghanistan
detailed;Albania;ALB008;Albania
detailed;Algeria;DZA012;Algeria
detailed;American Samoa;ASM016;American Samoa
detailed;Andorra;AND020;Andorra
detailed;Angola;AGO024;Angola
detailed;Anguilla;AIA660;Anguilla
detailed;Antigua and Barbuda;ATG028;Antigua and Barbuda
detailed;Argentina;ARG032;Argentina
detailed;Armenia;ARM051;Armenia
detailed;Aruba;ABW533;Aruba
detailed;Australia;AUS036;Australia
detailed;Austria;AUT040;Austria
detailed;Azerbaijan;AZE031;Azerbaijan
detailed;Bahamas;BHS044;Bahamas
detailed;Bahrain;BHR048;Bahrain
detailed;Bangladesh;BGD050;Bangladesh
detailed;Barbados;BRB052;Barbados
detailed;Belarus;BLR112;Belarus
detailed;Belgium;BEL056;Belgium
detailed;Belgium-Luxemburg;BLGLUX;Belgium-Luxemburg
detailed;Belize;BLZ084;Belize
detailed;Benin;BEN204;Benin
detailed;Bermuda;BMU060;Bermuda
detailed;Bhutan;BTN064;Bhutan
detailed;Bolivia;BOL068;Bolivia
detailed;Bonaire;BES535;Bonaire
detailed;Bosnia and Herzegovina;BIH070;Bosnia and Herzegovina
detailed;Botswana;BWA072;Botswana
detailed;Brazil;BRA076;Brazil
detailed;British Indian Ocean Territory;IOT086;British Indian Ocean Territory
detailed;British Virgin Islands;VGB092;British Virgin Islands
detailed;Brunei Darussalam;BRN096;Brunei Darussalam
detailed;Bulgaria;BGR100;Bulgaria
detailed;Burkina Faso;BFA854;Burkina Faso
detailed;Burundi;BDI108;Burundi
detailed;Cambodia;KHM116;Cambodia
detailed;Cameroon;CMR120;Cameroon
detailed;Canada;CAN124;Canada
detailed;Cape Verde;CPV132;Cape Verde
detailed;Cayman Islands;CYM136;Cayman Islands
detailed;Central African Republic;CAF140;Central African Republic
detailed;Chad;TCD148;Chad
detailed;Chile;CHL152;Chile
detailed;China;CHN156;China
detailed;Christmas Island;CXR162;Christmas Island
detailed;Cocos (Keeling) Islands;CCK166;Cocos (Keeling) Islands
detailed;Colombia;COL170;Colombia
detailed;Comoros;COM174;Comoros
detailed;Cook Islands;COK184;Cook Islands
detailed;Costa Rica;CRI188;Costa Rica
detailed;Cote d'Ivoire;CIV384;Cote d'Ivoire
detailed;Côte d'Ivoire;CIV384;Cote d'Ivoire
detailed;C�te d'Ivoire;CIV384;Cote d'Ivoire
detailed;Croatia;HRV191;Croatia
detailed;Cuba;CUB192;Cuba
detailed;Curaçao;CUW531;Curaçao
detailed;Cyprus;CYP196;Cyprus
detailed;Czech Republic;CZE203;Czech Republic
detailed;Czechoslovakia;CSK200;Czechoslovakia
detailed;Democratic Republic of Congo;COD180;DR Congo
detailed;Democratic Republic of the Congo (DRC);COD180;DR Congo
detailed;DR Congo;COD180;DR Congo
detailed;Denmark;DNK208;Denmark
detailed;Djibouti;DJI262;Djibouti
detailed;Dominica;DMA212;Dominica
detailed;Dominican Republic;DOM214;Dominican Republic
detailed;East Germany;DDR278;East Germany
detailed;Ecuador;ECU218;Ecuador
detailed;Egypt;EGY818;Egypt
detailed;El Salvador;SLV222;El Salvador
detailed;Equatorial Guinea;GNQ226;Equatorial Guinea
detailed;Eritrea;ERI232;Eritrea
detailed;Estonia;EST233;Estonia
detailed;Ethiopia;ETH231;Ethiopia
detailed;Ethiopia (Former);ETH230;Ethiopia (Former)
detailed;Falkland Islands (Malvinas);FLK238;Falkland Islands (Malvinas)
detailed;Faroe Islands;FRO234;Faroe Islands
detailed;Fiji;FJI242;Fiji Islands
detailed;Fiji Islands;FJI242;Fiji Islands
detailed;Finland;FIN246;Finland
detailed;France;FRA250;France
detailed;French Guiana;GUF254;French Guiana
detailed;French Polynesia;PYF258;French Polynesia
detailed;Gabon;GAB266;Gabon
detailed;Gambia;GMB270;Gambia
