unit_cat;unit_id;material_id;waste_type;conv_factor_t;conv_factor_ppm;conv_factor_sqkm
mass;t;;;1;;
mass;Kt;;;1000;;
mass;Mt;;;1000000;;
mass;100Mt;;;100000000;;
mass;Gt;;;1000000000;;
mass;wmt;;;1;;
mass;Kwmt;;;1000;;
mass;Mwmt;;;1000000;;
mass;g;;;0.000001;;
mass;Kg;;;0.001;;
mass;ct;;;2.00E-07;;
mass;Kct;;;0.0002;;
mass;Mct;;;0.2;;
mass;st;;;0.9072;;
mass;Kst;;;907.2;;
mass;Mst;;;907200;;
mass;lt;;;1.016047;;
mass;Klt;;;1016.047;;
mass;Mlt;;;1016047;;
mass;Mwlt;;;1016047;;
mass;lb;;;0.000453592;;
mass;Klb;;;0.45359237;;
mass;Mlb;;;453.59237;;
mass;Glb;;;453592.37;;
mass;oz;;;2.83E-05;;
mass;Koz;;;0.028349523;;
mass;Moz;;;28.34952313;;
mass;ozt;;;3.11E-05;;
mass;Kozt;;;0.031103477;;
mass;Mozt;;;31.1034768;;
mass;mtu;;;1;;
mass;flask;;;0.034;;
grade;pct;;;;10000;
grade;g/t;;;;1;
grade;oz/t;;;;28.34952313;
grade;decimal;;;;1000000;
grade;ct/t;;;;0.2;
grade;Kg/t;;;;1000;
grade;ppm;;;;1;
grade;ozt/t;;;;31.1034768;
volume;cm;;;1.769;;
volume;cm;M.abr;;0.641;;
volume;cm;M.cha;;1.442;;
volume;cm;M.coc;;1.5;;
volume;cm;M.crs;;2.5;;
volume;cm;M.dol;;1.522;;
volume;cm;M.fic;;1.362;;
volume;cm;M.gya;;1.602;;
volume;cm;M.ign;;2.749;;
volume;cm;M.ins;;1.602;;
volume;cm;M.lim;;1.5;;
volume;cm;M.mas;;2.243;;
volume;cm;M.mat;;2.563;;
volume;cm;M.qar;;1.554;;
volume;cm;M.sag;;1.9;;
volume;cm;M.sas;;2.323;;
volume;cm;M.SiO2;;1.201;;
volume;cm;M.sla;;1.4;;
volume;cm;M.spc;;1.5;;
volume;cm;M.sto;;2.5;;
volume;cm;Me.CaCO3;;1.201;;
volume;Kcm;;;1769;;
volume;Kcm;M.abr;;641;;
volume;Kcm;M.cha;;1442;;
volume;Kcm;M.coc;;1500;;
volume;Kcm;M.crs;;2500;;
volume;Kcm;M.dol;;1522;;
volume;Kcm;M.fic;;1362;;
volume;Kcm;M.gya;;1602;;
volume;Kcm;M.ign;;2749;;
volume;Kcm;M.ins;;1602;;
volume;Kcm;M.lim;;1500;;
volume;Kcm;M.mas;;2243;;
volume;Kcm;M.mat;;2563;;
volume;Kcm;M.qar;;1554;;
volume;Kcm;M.sag;;1900;;
volume;Kcm;M.sas;;2323;;
volume;Kcm;M.SiO2;;1201;;
volume;Kcm;M.sla;;1400;;
volume;Kcm;M.spc;;1500;;
volume;Kcm;M.sto;;2500;;
volume;Kcm;Me.CaCO3;;1201;;
volume;Mcm;;;1769000;;
volume;Mcm;M.abr;;641000;;
volume;Mcm;M.cha;;1442000;;
volume;Mcm;M.coc;;1500000;;
volume;Mcm;M.crs;;2500000;;
volume;Mcm;M.dol;;1522000;;
volume;Mcm;M.fic;;1362000;;
volume;Mcm;M.gya;;1602000;;
volume;Mcm;M.ign;;2749000;;
