mine_fac;year;sub_site;min_ore_con;type_mining;mine_processing
Antas;2019;NA;O.bulk;Underground;NA
Antas;2019;NA;Con.Cu;NA;NA
Antas;2018;NA;O.bulk;NA;NA
Antas;2018;NA;Con.Cu;NA;NA
Bald Mountain;2018;NA;O.Au;NA;heap leaching
Bald Mountain;2017;NA;O.Au;NA;heap leaching
Bald Mountain;2016;NA;O.Au;NA;heap leaching
Broken Hill;2008;NA;O.Ag;NA;NA
Broken Hill;2007;NA;O.Ag;NA;NA
Broken Hill;2006;NA;O.Ag;NA;NA
Buenavista;2019;NA;O.bulk;Open pit;NA
Buenavista;2018;NA;O.bulk;Open pit;NA
Buenavista;2017;NA;O.bulk;Open pit;NA
Buenavista;2016;NA;O.bulk;Open pit;NA
Buenavista;2015;NA;O.bulk;Open pit;NA
Buenavista;2014;NA;O.bulk;Open pit;NA
Buenavista;2013;NA;O.bulk;Open pit;NA
Buenavista;2012;NA;O.bulk;Open pit;NA
Buenavista;2011;NA;O.bulk;Open pit;NA
Buenavista;2008;NA;O.bulk;Open pit;NA
Buenavista;2007;NA;O.bulk;Open pit;NA
Buenavista;2006;NA;O.bulk;Open pit;NA
Buenavista;2005;NA;O.bulk;Open pit;NA
Carlin;2018;NA;O.Au;Open pit;NA
Carlin;2018;NA;O.Au;Underground;NA
Carlin;2017;NA;O.Au;Open pit;NA
Carlin;2017;NA;O.Au;Underground;NA
Carlin;2016;NA;O.Au;Open pit;NA
Carlin;2016;NA;O.Au;Underground;NA
Carlin;2015;NA;O.Au;Open pit;NA
Carlin;2015;NA;O.Au;Underground;NA
Carlin;2014;NA;O.Au;Open pit;NA
Carlin;2014;NA;O.Au;Underground;NA
Centinela;2011;Esperanza;Con.Cu;NA;NA
Collahuasi;2017;NA;O.sul;NA;NA
Collahuasi;2015;NA;O.oxi;NA;heap leaching
Collahuasi;2014;NA;O.oxi;NA;heap leaching
Collahuasi;2013;NA;O.oxi;NA;heap leaching
Collahuasi;2012;NA;O.sul;NA;NA
Collahuasi;2012;NA;O.oxi;NA;heap leaching
Collahuasi;2011;NA;O.sul;NA;NA
Collahuasi;2011;NA;O.oxi;NA;heap leaching
Collahuasi;2010;NA;O.sul;NA;NA
Collahuasi;2010;NA;O.oxi;NA;heap leaching
Collahuasi;2009;NA;O.sul;NA;NA
Collahuasi;2009;NA;O.oxi;NA;heap leaching
Collahuasi;2008;NA;O.sul;NA;NA
Collahuasi;2008;NA;O.oxi;NA;heap leaching
Collahuasi;2007;NA;O.sul;NA;NA
Collahuasi;2007;NA;O.oxi;NA;heap leaching
Collahuasi;2006;NA;O.sul;NA;NA
Collahuasi;2006;NA;O.oxi;NA;heap leaching
Collahuasi;2005;NA;O.sul;NA;NA
Collahuasi;2005;NA;O.oxi;NA;heap leaching
Collahuasi;2004;NA;O.sul;NA;NA
Collahuasi;2004;NA;O.oxi;NA;heap leaching
Collahuasi;2003;NA;O.sul;NA;NA
Collahuasi;2003;NA;O.oxi;NA;heap leaching
Cracow;2007;NA;O.Au;NA;NA
Cracow;2006;NA;O.Au;NA;NA
Cracow;2005;NA;O.Au;NA;NA
Cripple Creek & Victor;2019;NA;O.Au;Open pit;NA
Cripple Creek & Victor;2018;NA;O.Au;Open pit;NA
Cripple Creek & Victor;2017;NA;O.Au;Open pit;NA
Cripple Creek & Victor;2016;NA;O.Au;Open pit;NA
Cuajone;2019;NA;O.bulk;Open pit;NA
Cuajone;2018;NA;O.bulk;Open pit;NA
Cuajone;2017;NA;O.bulk;Open pit;NA
Cuajone;2016;NA;O.bulk;Open pit;NA
Cuajone;2015;NA;O.bulk;Open pit;NA
Cuajone;2014;NA;O.bulk;Open pit;NA
Cuajone;2013;NA;O.bulk;Open pit;NA
Cuajone;2012;NA;O.bulk;Open pit;NA
Cuajone;2011;NA;O.bulk;Open pit;NA
Cuajone;2010;NA;O.bulk;Open pit;NA
Cuajone;2009;NA;O.bulk;Open pit;NA
Cuajone;2008;NA;O.bulk;Open pit;NA
Cuajone;2007;NA;O.bulk;Open pit;NA
Cuajone;2006;NA;O.bulk;Open pit;NA
Cuajone;2005;NA;O.bulk;Open pit;NA
DeGrussa;2013;NA;O.bulk;NA;NA
Edikan;2014;NA;NA;NA;NA
Edikan;2013;NA;NA;NA;NA
Edikan;2012;NA;NA;NA;NA
El Soldado;2012;NA;O.sul;NA;NA
El Soldado;2012;NA;O.oxi;NA;heap leaching
El Soldado;2011;NA;O.sul;NA;NA
El Soldado;2011;NA;O.oxi;NA;heap leaching
El Soldado;2010;NA;O.sul;NA;NA
El Soldado;2010;NA;O.oxi;NA;heap leaching
El Soldado;2009;NA;O.sul;NA;NA
El Soldado;2009;NA;O.oxi;NA;heap leaching
El Soldado;2008;NA;O.sul;NA;NA
El Soldado;2008;NA;O.oxi;NA;heap leaching
El Soldado;2007;NA;O.sul;NA;NA
El Soldado;2007;NA;O.oxi;NA;heap leaching
El Soldado;2006;NA;O.sul;NA;NA
El Soldado;2006;NA;O.oxi;NA;heap leaching
El Soldado;2005;NA;O.sul;NA;NA
El Soldado;2005;NA;O.oxi;NA;heap leaching
El Soldado;2004;NA;O.sul;NA;NA
El Soldado;2004;NA;O.oxi;NA;heap leaching
El Soldado;2003;NA;O.sul;NA;NA
El Soldado;2003;NA;O.oxi;NA;heap leaching
Fort Knox;2018;NA;O.Au;NA;heap leaching
Fort Knox;2017;NA;O.Au;NA;heap leaching
Fort Knox;2016;NA;O.Au;NA;heap leaching
Fort Knox;2015;NA;O.Au;NA;heap leaching
Fort Knox;2014;NA;O.Au;NA;heap leaching
Fort Knox;2013;NA;O.Au;NA;heap leaching
Fort Knox;2012;NA;O.Au;NA;heap leaching
Fort Knox;2011;NA;O.Au;NA;heap leaching
Fort Knox;2010;NA;O.Au;NA;heap leaching
Gualcamayo;2016;NA;O.Au;NA;leaching
Gualcamayo;2015;NA;O.Au;NA;leaching
Gualcamayo;2014;NA;O.Au;NA;leaching
Gualcamayo;2013;NA;O.Au;NA;leaching
Gualcamayo;2012;NA;O.Au;NA;leaching
Gualcamayo;2011;NA;O.Au;NA;leaching
Gualcamayo;2010;NA;O.Au;NA;leaching
Gualcamayo;2009;NA;O.Au;NA;leaching
IMMSA - Santa Eulalia;2011;NA;NA;NA;NA
Itabira;2004;Caue;O.Fe;Open pit;NA
Itabira;2004;Conceicao;O.Fe;Open pit;NA
Itabira;2003;Caue;O.Fe;Open pit;NA
Itabira;2003;Conceicao;O.Fe;Open pit;NA
Itabira;2002;Caue;O.Fe;Open pit;NA
Itabira;2002;Conceicao;O.Fe;Open pit;NA
Itabira;2001;Caue;O.Fe;Open pit;NA
Itabira;2001;Conceicao;O.Fe;Open pit;NA
Itabira;2000;Caue;O.Fe;Open pit;NA
Itabira;2000;Conceicao;O.Fe;Open pit;NA
Kansanshi;2010;NA;O.sul;NA;NA
Kansanshi;2010;NA;O.oxi;NA;NA
Kansanshi;2009;NA;O.sul;NA;NA
Kansanshi;2009;NA;O.oxi;NA;NA
Kansanshi;2008;NA;O.sul;NA;NA
Kansanshi;2008;NA;O.oxi;NA;NA
Kansanshi;2007;NA;O.sul;NA;NA
Kansanshi;2007;NA;O.oxi;NA;NA
Kansanshi;2006;NA;O.sul;NA;NA
Kansanshi;2006;NA;O.oxi;NA;NA
Kansanshi;2005;NA;O.sul;NA;NA
Kansanshi;2005;NA;O.oxi;NA;NA
Kevitsa;2018;NA;Con.Cu;NA;NA
Kevitsa;2018;NA;Con.Ni;NA;NA
Kevitsa;2017;NA;Con.Cu;NA;NA
