id,facility_id,year,type,material,value_tonnes,amount_sold_tonnes,reporting_period,source_id,comment
1,COM00003.00,2001,Clean coal,F.sbc,5356109,5356109,,det_2269,
2,COM00003.00,2001,Coal mined,F.sbc,5356109,5356109,,det_2269,
3,COM00003.00,2002,Clean coal,F.sbc,4681152,4681152,,det_2268,
4,COM00003.00,2002,Coal mined,F.sbc,4681152,4681152,,det_2268,
5,COM00003.00,2003,Clean coal,F.sbc,5457715,5457715,,det_2267,
6,COM00003.00,2003,Coal mined,F.sbc,5457715,5457715,,det_2267,
7,COM00003.00,2004,Clean coal,F.sbc,5885914,5885914,,det_2266,
8,COM00003.00,2004,Coal mined,F.sbc,5885914,5885914,,det_2266,
9,COM00003.00,2005,Clean coal,F.sbc,5863234,5863234,,det_2265,
10,COM00003.00,2005,Coal mined,F.sbc,5863234,5863234,,det_2265,
11,COM00003.00,2006,Clean coal,F.sbc,6149002,6422069,,det_2264,
12,COM00003.00,2006,Coal mined,F.sbc,6149002,6422069,,det_2264,
13,COM00003.00,2007,Clean coal,F.sbc,6667920,6665198,,det_2263,
14,COM00003.00,2007,Coal mined,F.sbc,6667920,6665198,,det_2263,
15,COM00003.00,2008,Clean coal,F.sbc,5797915,5822410,,det_2262,
16,COM00003.00,2008,Coal mined,F.sbc,5797915,5822410,,det_2262,
17,COM00003.00,2009,Clean coal,F.sbc,5315285,5362459,,det_2261,
18,COM00003.00,2009,Coal mined,F.sbc,5315285,5362459,,det_2261,
19,COM00003.00,2010,Clean coal,F.sbc,4958755,4959662,,det_2260,
20,COM00003.00,2010,Coal mined,F.sbc,4958755,4959662,,det_2260,
21,COM00003.00,2011,Clean coal,F.sbc,5023166,5041310,,det_2259,
22,COM00003.00,2011,Coal mined,F.sbc,5023166,5041310,,det_2259,
23,COM00003.00,2012,Clean coal,F.sbc,2483914,2462141,,det_2258,
24,COM00003.00,2012,Coal mined,F.sbc,2483914,2462141,,det_2258,
25,COM00003.00,2013,Clean coal,F.sbc,3755808,3781210,,det_2257,
26,COM00003.00,2013,Coal mined,F.sbc,3755808,3781210,,det_2257,
