id,facility_id,year,type_mining,waste_type,material,commodity,value_tonnes,total_material_tonnes,stripping_ratio,waste_to_ore_ratio,reporting_period,source_id,comment
1,COM00009.00,2007,Surface,Waste rock,,,32035046.400000002,40129992,,,,det_1402,
2,COM00009.00,2008,Surface,Waste rock,,,34772976,45874382.400000006,,,,det_1401,
3,COM00009.00,2009,Surface,Waste rock,,,36731620.800000004,47148091.2,,,,det_1401,
4,COM00009.00,2010,Surface,Waste rock,,,35193916.800000004,46316188.800000004,,,,det_1400,
5,COM00009.00,2011,Surface,Waste rock,,,33294240,47475590.400000006,,,,det_1400,
6,COM00009.00,2012,Surface,Waste rock,,,31673980.8,44250494.4,,,,det_1385,
7,COM00009.00,2013,Surface,Waste rock,,,38332828.800000004,54468288,,,,det_1385,
8,COM00009.00,2014,Surface,Waste rock,,,29530267.200000003,41439988.800000004,,,,det_1399,
9,COM00009.00,2015,Surface,Waste rock,,,29820571.200000003,36366926.4,,,,det_1398,
10,COM00009.00,2016,Surface,Waste rock,,,29099347.200000003,34936272,,,,det_1398,
11,COM00009.00,2017,Surface,Waste rock,,,29322518.400000002,35701041.6,,,,det_1398,
12,COM00009.00,2018,Surface,Waste rock,,,26822275.200000003,32926824,,,,det_1398,
13,COM00009.00,2019,Surface,Waste rock,,,29498515.200000003,36045777.6,,,,det_1398,
14,COM00016.00,2013,Surface,Waste rock,,,4014360,5747112,,,,det_1385,
15,COM00016.00,2014,Surface,Waste rock,,,21907972.8,33295147.200000003,,,,det_1399,
16,COM00016.00,2015,Surface,Waste rock,,,23139950.400000002,32506790.400000002,,,,det_1398,
17,COM00016.00,2016,Surface,Waste rock,,,24166900.8,33147273.6,,,,det_1398,
18,COM00016.00,2017,Surface,Waste rock,,,23740516.8,31957934.400000002,,,,det_1398,
19,COM00016.00,2018,Surface,Waste rock,,,21741955.2,32364360,,,,det_1398,
20,COM00016.00,2019,Surface,Waste rock,,,20722262.400000002,32375246.400000002,,,,det_1398,
21,COM00031.00,2005,,Waste rock,,,81553333.33333333,,,2.4,,det_2584,
22,COM00031.00,2006,,Waste rock,,,81161066.66666667,,,2.6,,det_2584,
23,COM00031.00,2007,,Waste rock,,,84308800,,,3.3,,det_2583,
24,COM00031.00,2008,,Waste rock,,,71326666.66666667,,,2.5,,det_2583,
25,COM00031.00,2009,,Waste rock,,,58895733.333333336,,,2,,det_2768,
26,COM00031.00,2010,,Waste rock,,,59126933.333333336,,,2.4,,det_2768,
27,COM00031.00,2011,,Waste rock,,,52201600,,,2.3,,det_2767,
28,COM00031.00,2012,,Waste rock,,,65618933.333333336,,,2.1,,det_2767,
29,COM00031.00,2013,,Waste rock,,,55153600,,,2.2,,det_2581,
30,COM00031.00,2014,,Waste rock,,,42427200,,,2.5,,det_2581,
31,COM00031.00,2015,,Waste rock,,,45650666.666666664,,,1.2,,det_2766,
32,COM00031.00,2016,,Waste rock,,,25274666.666666668,,,0.8,,det_2766,
33,COM00048.00,2013,,,,,,211586000,,,,det_1088,
34,COM00048.00,2014,,,,,,194102000,,,,det_1088,
35,COM00048.00,2015,,,,,,215653000,,,,det_1088,
36,COM00048.00,2016,,,,,,244443000,,,,det_1088,
37,COM00048.00,2017,,,,,,236366000,,,,det_1088,
38,COM00048.00,2018,,,,,,242407000,,,,det_1088,
39,COM00051.00,2017,Surface,Waste rock,,,2480723,,,,,det_2310,
40,COM00051.00,2018,Surface,Waste rock,,,4849538,,,,,det_2309,
41,COM00057.00,2016,,Tailings,,,3453660,,,,,det_1989,
42,COM00057.00,2016,,Waste rock,,,3016025,,,,,det_1989,
43,COM00057.00,2017,,Tailings,,,3745230,,,,,det_1989,
44,COM00057.00,2017,,Waste rock,,,5370285,,,,,det_1989,
45,COM00057.00,2018,,Tailings,,,5466997,,,,,det_1989,
46,COM00057.00,2018,,Waste rock,,,4138257,,,,,det_1989,
47,COM00071.00,2007,,Waste rock,,,1098000,,,,,det_2573,
48,COM00071.00,2008,,Waste rock,,,4270000,,1.64,,,det_2572,
49,COM00071.00,2009,,Waste rock,,,17934000,,4.05,,,det_2572,
50,COM00071.00,2010,,Waste rock,,,20252000,,6.7,,,det_2571,
51,COM00071.00,2011,,Waste rock,,,50752000,,6.2,,,det_2571,
52,COM00071.00,2012,,Waste rock,,,57950000,,5.4,,,det_2466,
53,COM00071.00,2013,,Waste rock,,,38552000,,3.7,,,det_2466,
54,COM00071.00,2014,,Waste rock,,,22204000,,2.4,,,det_2570,
55,COM00071.00,2015,,Waste rock,,,27572000,,2.5,,,det_2570,
56,COM00071.00,2016,,Waste rock,,,42334000,,3.8,,,det_2569,
57,COM00071.00,2017,,Waste rock,,,43066000,,4.2,,,det_2569,
58,COM00071.00,2018,,Waste rock,,,51972000,,5.5,,,det_2465,
59,COM00071.00,2019,,Waste rock,,,49166000,,4.9,,,det_2465,
60,COM00087.00,2014,,Waste rock,,,5087400,,,,,det_2564,
61,COM00087.00,2015,,Waste rock,,,6710000,,,,,det_2564,
62,COM00087.00,2016,,Waste rock,,,4892200,,2.43,,,det_2563,
63,COM00087.00,2017,,Waste rock,,,9394000,,2.4,,,det_2493,
64,COM00087.00,2018,,Waste rock,,,22374800,,3.9,,,det_2492,
65,COM00087.00,2019,,Waste rock,,,18836800,,3.09,,,det_2491,
66,COM00087.00,2020,,Waste rock,,,14835200,,2.65,,,det_2490,
67,COM00102.00,2016,,Waste rock,F.stc,,4551716,,,,July-June,det_2905,
68,COM00102.00,2017,,Waste rock,F.stc,,5409424,,,,July-June,det_2641,
69,COM00102.00,2018,,Waste rock,F.stc,,12463061,,,,July-June,det_2641,
70,COM00104.00,2007,Surface,Waste rock,,,195378220.8,222179630.4,,,,det_1402,
71,COM00104.00,2008,Surface,Waste rock,,,108421286.4,177633388.8,,,,det_1401,
72,COM00104.00,2009,Surface,Waste rock,,,22280832,133013664,,,,det_1401,
73,COM00104.00,2010,Surface,Waste rock,,,60111979.2,85667803.2,,,,det_1400,
74,COM00104.00,2011,Surface,Waste rock,,,140997024,147703953.6,,,,det_1400,
75,COM00104.00,2012,Surface,Waste rock,,,177012864,178236676.8,,,,det_1385,
76,COM00104.00,2013,Surface,Waste rock,,,168702912,196014168,,,,det_1385,
77,COM00104.00,2014,Surface,Waste rock,,,53208187.2,116646868.80000001,,,,det_1399,
78,COM00104.00,2015,Surface,Waste rock,,,46992960,138852403.20000002,,,,det_1398,
79,COM00105.00,2007,,Waste rock,,,17812000,,,,,det_2573,
80,COM00105.00,2008,,Waste rock,,,23790000,,10.38,,,det_2572,
81,COM00105.00,2009,,Waste rock,,,44530000,,11.61,,,det_2572,
82,COM00105.00,2010,,Waste rock,,,31110000,,11.6,,,det_2571,
83,COM00105.00,2011,,Waste rock,,,34770000,,7.2,,,det_2571,
84,COM00105.00,2012,,Waste rock,,,38674000,,8.8,,,det_2466,
85,COM00105.00,2013,,Waste rock,,,17568000,,2.5,,,det_2466,
86,COM00124.00,2015,,Waste rock,,,50386000,,,,,det_1522,
87,COM00124.00,2016,,Waste rock,,,50996000,,,,,det_1522,
88,COM00124.00,2017,,Waste rock,,,56852000,,,,,det_1521,
89,COM00124.00,2018,,Waste rock,,,59048000,,,,,det_1521,
90,COM00129.00,2004,,Waste rock,,,40934660,,,,April-March,det_2543,
91,COM00129.00,2005,,Waste rock,,,48316880,,,,April-March,det_2543,
92,COM00129.00,2006,,Waste rock,,,53628760,,,,April-March,det_2543,
93,COM00129.00,2007,,Waste rock,,,56426220,,,,April-March,det_2543,
94,COM00129.00,2008,,Waste rock,,,61744200,,,,April-March,det_2543,
95,COM00129.00,2009,,Waste rock,,,65392000,,,,April-March,det_2543,
96,COM00129.00,2010,,Waste rock,,,75193480,,,,April-March,det_2545,
97,COM00129.00,2011,,Waste rock,,,101535720,,,,April-March,det_2544,
98,COM00129.00,2012,,Waste rock,,,99260420,,,,April-March,det_2544,
99,COM00129.00,2013,,Waste rock,,,102795980,,,,April-March,det_2543,
100,COM00129.00,2014,,Waste rock,,,,,,,April-March,det_2543,
101,COM00129.00,2015,,Waste rock,,,126759220,,,,April-March,det_2542,
102,COM00129.00,2016,,Waste rock,,,181281020,,,,April-March,det_2542,
103,COM00129.00,2017,,Waste rock,,,160082300,,,,April-March,det_2541,
104,COM00129.00,2018,,Waste rock,,,134768520,,,,April-March,det_2541,
105,COM00129.00,2019,,Waste rock,,,125958900,,,,April-March,det_2540,
106,COM00129.00,2020,,Waste rock,,,100828120,,,,April-March,det_2540,
107,COM00144.00,2018,,Waste rock,F.stc,,14248865,,,,July-June,det_2641,
108,COM00144.00,2019,,,F.stc,,,,6.7,,July-June,det_2640,
109,COM00144.00,2020,,,F.stc,,,,8.5,,July-June,det_2640,
110,COM00146.00,2019,,Waste rock,,,13679900,,0.7,,April-March,det_2118,
111,COM00146.00,2020,,Waste rock,,,13742400,,0.7,,April-March,det_2118,
112,COM00151.00,2009,Surface,Waste rock,,,6412996.800000001,10090785.6,,,,det_1401,
113,COM00151.00,2010,Surface,Waste rock,,,46071244.800000004,94640918.4,,,,det_1400,
114,COM00151.00,2011,Surface,Waste rock,,,43213564.800000004,91187208,,,,det_1400,
115,COM00151.00,2012,Surface,Waste rock,,,43662628.800000004,82259452.8,,,,det_1385,
116,COM00151.00,2013,Surface,Waste rock,,,53713497.6,92283105.60000001,,,,det_1385,
117,COM00151.00,2014,Surface,Waste rock,,,46836921.6,96116025.60000001,,,,det_1399,
118,COM00151.00,2015,Surface,Waste rock,,,33808622.4,78392966.4,,,,det_1398,
119,COM00151.00,2016,Surface,Waste rock,,,38446228.800000004,83369865.60000001,,,,det_1398,
120,COM00151.00,2017,Surface,Waste rock,,,34879118.4,77597352,,,,det_1398,
121,COM00151.00,2018,Surface,Waste rock,,,44238700.800000004,79540574.4,,,,det_1398,
122,COM00151.00,2019,Surface,Waste rock,,,53309793.6,88422062.4,,,,det_1398,
123,COM00154.00,2006,,Waste rock,F.coal,,8450807.02,,,,,det_2893,
124,COM00154.00,2006,,Waste rock,F.coal,,453713.12,,,,,det_2893,
125,COM00154.00,2007,,Waste rock,F.coal,,23865091,,,,,det_2893,
126,COM00154.00,2007,,Waste rock,F.coal,,461020.92,,,,,det_2893,
127,COM00154.00,2008,,Waste rock,F.coal,,36319847.74,,,,,det_2892,
128,COM00154.00,2008,,Waste rock,F.coal,,514798.51999999996,,,,,det_2892,
129,COM00154.00,2009,,Waste rock,F.coal,,53246307.08,,,,,det_2892,
130,COM00154.00,2009,,Waste rock,F.coal,,603372.96,,,,,det_2892,
131,COM00154.00,2010,,Waste rock,F.coal,,77940607.67999999,,,,,det_2891,
132,COM00154.00,2010,,Waste rock,F.coal,,985420.84,,,,,det_2891,
133,COM00154.00,2011,,Waste rock,F.coal,,109672128.14,,,,,det_2891,
134,COM00154.00,2011,,Waste rock,F.coal,,1207060.68,,,,,det_2891,
135,COM00154.00,2012,,Waste rock,F.coal,,150840459.62,,,,,det_2890,
