id	facility_id	year	product	value_tonnes	transport_to	transport_by	export	export_to	reporting_period	source_id	comment
1	COM00003.00	2017	F.coal			Truck, Rail				det_2026	
2	COM00010.00	2015		530000			Yes	North America		det_2172	
3	COM00010.00	2015		2000			Yes	Europe		det_2172	
4	COM00010.00	2016		590000			Yes	North America		det_1974	
5	COM00010.00	2016		47000			Yes	Europe		det_1974	
6	COM00010.00	2017		468000			Yes	North America		det_1974	
7	COM00010.00	2017		10000			Yes	Europe		det_1974	
8	COM00010.00	2018		3447000			No			det_1974	2126+1321
9	COM00010.00	2018		454000			Yes	United States		det_1974	
10	COM00017.00	2019	O.Al		Ras Al Khair Alumina Refinery	Road, Rail	No			det_1768	
11	COM00032.00		Me.Al2O3		Albras		No			det_1373	
12	COM00037.00	2014	F.coal			Rail, Truck				det_2018	
13	COM00039.00	2014	F.coal			Rail, Truck				det_2018	
14	COM00040.00	2012	F.coal			Rail, Truck				det_2019	
15	COM00043.00	2010	Oth.sif		Monlevade plant	Rail	No			det_1677	
16	COM00043.00	2011	Oth.sif		Monlevade plant	Rail	No			det_1676	
17	COM00043.00	2012	Oth.sif		Monlevade plant	Rail	No			det_1675	
18	COM00043.00	2013	Oth.sif		Monlevade plant	Rail	No			det_1607	
19	COM00043.00	2014	Oth.sif		Monlevade plant	Rail	No			det_1674	
20	COM00043.00	2015	Oth.sif		Monlevade plant	Rail	No			det_1673	
21	COM00043.00	2016	Oth.sif		Monlevade plant	Rail	No			det_1672	
22	COM00043.00	2017	Oth.sif		Monlevade plant	Rail	No			det_1671	
23	COM00043.00	2018	Oth.sif		Monlevade plant	Rail	No			det_1670	
24	COM00043.00	2019	Oth.sif		Monlevade plant	Rail	No			det_1606	
25	COM00046.00	2008	Me.Al	101723			Yes		April-March	det_1855	
26	COM00046.00	2009	Me.Al	82317			Yes		April-March	det_1855	
27	COM00046.00	2010	Me.Al	146947			Yes		April-March	det_1854	
28	COM00046.00	2011	Me.Al	98200			Yes		April-March	det_1854	
29	COM00046.00	2012	Me.Al	98399			Yes		April-March	det_1854	
30	COM00046.00	2013	Me.Al	144161			Yes		April-March	det_1854	
31	COM00046.00	2014	Me.Al	101243			Yes		April-March	det_1854	
32	COM00046.00	2015	Me.Al	60752			Yes		April-March	det_1853	
33	COM00046.00	2016	Me.Al	94671			Yes		April-March	det_1853	
34	COM00046.00	2017	Me.Al	100591			Yes		April-March	det_1853	
35	COM00046.00	2018	Me.Al	75847			Yes		April-March	det_1853	
36	COM00046.00	2019	Me.Al	38463			Yes		April-March	det_1853	
37	COM00048.00	2019	Con.Cu		Huarmey port	Pipeline				det_1137	
38	COM00048.00	2019	Con.Zn		Huarmey port	Pipeline				det_1137	
39	COM00048.00	2019	Me.Mo		Huarmey port	Road				det_1137	
40	COM00048.00	2019			Huarmey port	Road				det_1137	
41	COM00057.00	2016		54672			Yes			det_1989	
42	COM00057.00	2017		62450			Yes			det_1989	
43	COM00057.00	2018		81899			Yes			det_1989	
44	COM00059.00	2019				Rail, Lake vessels, Road				det_1606	
45	COM00063.00	2019				Sea, Rail, Road				det_1606	
46	COM00067.00	2018				Road, Air				det_1074	
47	COM00071.00	2020	F.coal		NPLCT (North Pulau Laut Coal Terminal)					det_2465	
48	COM00073.00	2011	Con.Fe	300000	Temirtau steel plant	Rail	No			det_1676	
49	COM00073.00	2012	Con.Fe	440000	Temirtau steel plant	Rail	No			det_1675	
50	COM00073.00	2013	Con.Fe	400000	Temirtau steel plant	Rail	No			det_1607	
51	COM00073.00	2014	Con.Fe	400000	Temirtau steel plant	Rail	No			det_1674	
52	COM00073.00	2015	Con.Fe	400000	Temirtau steel plant	Rail	No			det_1673	
53	COM00073.00	2016	Con.Fe	500000	Temirtau steel plant	Rail	No			det_1672	
54	COM00073.00	2017	Con.Fe	500000	Temirtau steel plant	Rail	No			det_1671	
55	COM00073.00	2018	Con.Fe	500000	Temirtau steel plant	Rail	No			det_1670	
56	COM00073.00	2019	Con.Fe	600000	Temirtau steel plant	Rail	No			det_1606	
57	COM00074.00	2011	Con.Fe	1200000	Temirtau steel plant	Rail	No			det_1676	
58	COM00074.00	2012	Con.Fe	640000	Temirtau steel plant	Rail	No			det_1675	
59	COM00074.00	2013	Con.Fe	600000	Temirtau steel plant	Rail	No			det_1607	
60	COM00074.00	2014	Con.Fe	900000	Temirtau steel plant	Rail	No			det_1674	
61	COM00074.00	2015	Con.Fe	800000	Temirtau steel plant	Rail	No			det_1673	
62	COM00074.00	2016	Con.Fe	800000	Temirtau steel plant	Rail	No			det_1672	
63	COM00074.00	2017	Con.Fe	1000000	Temirtau steel plant	Rail	No			det_1671	
64	COM00074.00	2018	Con.Fe	800000	Temirtau steel plant	Rail	No			det_1670	
65	COM00074.00	2019	Con.Fe	900000	Temirtau steel plant	Rail	No			det_1606	
66	COM00084.00	2019				Road				det_1378	
67	COM00109.00	2019	F.coal			Rail, Truck				det_2215	
68	COM00113.00	2019	F.coc			Rail				det_2000	
69	COM00118.00	2018	F.coal			Truck, Barge				det_2030	
70	COM00128.00	2017	F.coal			Rail				det_2026	
71	COM00141.00	2019	F.stc			Rail				det_2000	
72	COM00142.00	2012	F.coal			Rail, Truck				det_2019	
73	COM00143.00		F.coc		Hay Point port, Gladstone port, Dalrymple Bay port, Abbot Point port	Rail				det_1137	
74	COM00150.00	2006	O.Al		Korba	Road	No			det_1856	
75	COM00150.00	2007	O.Al		Korba	Road	No			det_1856	
76	COM00150.00	2008	O.Al		Korba	Road	No			det_1825	
77	COM00150.00	2009	O.Al		Korba	Road	No			det_1825	
78	COM00150.00	2010	O.Al		Korba	Road	No			det_1825	
79	COM00150.00	2011	O.Al		Korba	Road	No			det_1806	
80	COM00150.00	2012	O.Al		Korba	Road	No			det_1806	
81	COM00150.00	2013	O.Al		Korba	Road	No			det_1806	
82	COM00150.00	2014	O.Al		Korba	Road	No			det_1807	
83	COM00150.00	2015	O.Al		Korba	Road	No			det_1807	
84	COM00150.00	2016	O.Al		Korba	Road	No			det_1807	
85	COM00150.00	2017	O.Al		Korba	Road	No			det_1805	
86	COM00150.00	2018	O.Al		Korba	Road	No			det_1805	
87	COM00150.00	2019	O.Al		Korba	Road	No			det_1805	
88	COM00154.00		F.coc		Port of Newcastle					det_2637	
89	COM00170.00		F.coc		Hay Point port, Gladstone port, Dalrymple Bay port, Abbot Point port	Rail				det_1137	
90	COM00176.00	2015	F.coal			Rail, Truck				det_2016	
91	COM00177.00	2017	F.coal			Truck, Rail				det_2026	
92	COM00178.00	2019	Con.Cu		La Caridad	Rail, Truck	no			det_1323	
93	COM00178.00		Con.Cu		Guaymas port	Rail, Truck	yes			det_1323	
94	COM00180.00					Air, Road				det_1175	
95	COM00182.00	2019				Rail, Lake vessels, Road				det_1606	
96	COM00186.00					Air, Road				det_1175	
97	COM00189.00	2019	F.coal			Rail				det_2215	
98	COM00191.00	2018	F.coal			Truck, Rail, Barge				det_2030	
99	COM00192.00	2009	O.Ni	195861			Yes	Japan		det_2306	Nickel grade: 2.05%
100	COM00192.00	2009	O.Ni	248272			Yes	China		det_2306	Nickel grade: 1.86%
101	COM00192.00	2009	O.Ni	101742			Yes	China		det_2306	Nickel grade: 1.47%
102	COM00192.00	2010	O.Ni	244064			Yes	Japan		det_2306	Nickel grade: 2.01%
103	COM00192.00	2010	O.Ni	321249			Yes	China		det_2306	Nickel grade: 1.86%
104	COM00192.00	2010	O.Ni	330640			Yes	China		det_2306	Nickel grade: 1.51%
105	COM00192.00	2011	O.Ni	130910			Yes	Japan		det_2306	Nickel grade: 1.96%
106	COM00192.00	2011	O.Ni	572871			Yes	China		det_2306	Nickel grade: 1.68%
107	COM00192.00	2011	O.Ni	330262			Yes	China		det_2306	Nickel grade: 1.49%
108	COM00192.00	2012	O.Ni	182730			Yes	Japan		det_2305	Nickel grade: 1.82%
109	COM00192.00	2012	O.Ni	107603			Yes	China		det_2305	Nickel grade: 1.55%
110	COM00192.00	2012	O.Ni	795279			Yes	China		det_2305	Nickel grade: 1.52%
111	COM00192.00	2013	O.Ni	199676			Yes	Japan		det_2305	Nickel grade: 1.82%
112	COM00192.00	2013	O.Ni	150607			Yes	China		det_2305	Nickel grade: 1.76%
113	COM00192.00	2013	O.Ni	538549			Yes	China		det_2305	Nickel grade: 1.37%
114	COM00192.00	2014	O.Ni	249605			Yes	Japan		det_2436	Nickel grade: 1.8%
115	COM00192.00	2014	O.Ni	640000			Yes	China		det_2436	Nickel grade: 1.55%
116	COM00192.00	2014	O.Ni	302297			Yes	China		det_2304	Nickel grade: 1.22%
117	COM00192.00	2014	O.Ni	158397			Yes	Australia		det_2304	Nickel grade: 1.25%
118	COM00192.00	2015	O.Ni	245522			Yes	Japan		det_2436	Nickel grade: 1.76%
119	COM00192.00	2015	O.Ni	482512			Yes	China		det_2436	Nickel grade: 1.5%
120	COM00192.00	2015	O.Ni	1177815			Yes	China		det_2436	Nickel grade: 1.35%
121	COM00192.00	2015	O.Ni	263674			Yes	Australia		det_2436	Nickel grade: 1.15%
122	COM00192.00	2016	O.Ni	251678			Yes	Japan		det_2304	Nickel grade: 1.72%
123	COM00192.00	2016	O.Ni	1287824			Yes	China		det_2304	Nickel grade: 1.48%
124	COM00192.00	2016	O.Ni	526095			Yes	China		det_2304	Nickel grade: 1.21%
125	COM00192.00	2017	O.Ni	150137			Yes	Japan		det_2046	Nickel grade: 1.8%
126	COM00192.00	2017	O.Ni	1534957			Yes	China		det_2046	Nickel grade: 1.45%
127	COM00192.00	2017	O.Ni	165341			Yes	China		det_2046	Nickel grade: 1.22%
128	COM00192.00	2018	O.Ni	251108			Yes	Japan		det_2046	Nickel grade: 1.84%
129	COM00192.00	2018	O.Ni	2376910			Yes	China		det_2046	Nickel grade: 1.53%
130	COM00192.00	2018	O.Ni	10816	Coral Bay Nickel Corporation		No			det_2046	Nickel grade: 1.2%
131	COM00192.00	2019	O.Ni	201881			Yes	Japan		det_2046	Nickel grade: 1.75%
132	COM00192.00	2019	O.Ni	2544238			Yes	China		det_2046	Nickel grade: 1.58%
133	COM00192.00	2019	O.Ni	30709	Coral Bay Nickel Corporation		No			det_2046	Nickel grade: 1.18%
134	COM00197.00	2013				Road				det_1379	
135	COM00199.00	2002		111000			Yes			det_2171	
136	COM00199.00	2002		811000			No			det_2171	
137	COM00199.00	2003		83000			Yes			det_2171	
138	COM00199.00	2003		852000			No			det_2171	
139	COM00199.00	2004		35000			Yes			det_2166	
140	COM00199.00	2004		1008000			No			det_2166	
141	COM00199.00	2005		35000			Yes			det_2166	
142	COM00199.00	2005		1030000			No			det_2166	
143	COM00199.00	2006		7000			Yes			det_2165	
144	COM00199.00	2006		1112000			No			det_2165	
145	COM00199.00	2007		7000			Yes			det_2165	
146	COM00199.00	2007		1206000			No			det_2165	
147	COM00199.00	2008		3000			Yes			det_2164	
148	COM00199.00	2008		1158000			No			det_2164	
149	COM00199.00	2009		10000			Yes			det_2164	
150	COM00199.00	2009		912000			No			det_2164	
151	COM00199.00	2010		2000			Yes			det_2163	
152	COM00199.00	2010		669000			No			det_2163	
153	COM00199.00	2011		5000			Yes			det_2163	
154	COM00199.00	2011		1109000			No			det_2163	
155	COM00199.00	2012		2000			Yes			det_2161	
156	COM00199.00	2012		1122000			No			det_2161	
157	COM00199.00	2013		0			Yes			det_2161	
158	COM00199.00	2013		859000			No			det_2161	
159	COM00199.00	2014		33000			Yes			det_2157	
160	COM00199.00	2014		668000			No			det_2157	
161	COM00199.00	2015		65000			Yes			det_2157	
162	COM00199.00	2015		654000			No			det_2157	
