facility_id,facility_name,facility_other_names,sub_site_name,sub_site_other_names,facility_type,primary_commodity,commodities_products,facility_equipment,production_start,production_end,activity_status,activity_status_year,surface_area_sq_km,concession_area_sq_km,country,GID_0,GID_1,GID_2,GID_3,GID_4,source_id,comment,geom
COM00001.00,777,,,,Mine,Copper,"Copper, Zinc, Gold, Silver",Underground,,,,,,,Canada,CAN,CAN.3_1,CAN.3.13_1,CAN.3.13.2_1,,det_1361,,"c(-101.8794642, 54.7748162)"
COM00002.00,A Narrain,,,,Mine,Iron,Iron ore,Open pit,,,,,,1.6059999999999999,India,IND,IND.16_1,IND.16.11_1,IND.16.11.2_1,,det_1805,,"c(76.2084138, 14.2235254)"
COM00003.00,Absaloka,,,,Mine,Coal,Sub-bituminous coal,,1974,,,,,,United States of America,USA,USA.27_1,USA.27.2_1,,,det_2026,,"c(-107.082901, 45.8053054)"
COM00004.00,Abyz,,,,Mine,Gold,"Copper, Zinc, Gold, Silver",,,,,,,,Kazakhstan,KAZ,NA,NA,NA,NA,det_1125,,numeric(0)
COM00005.00,Achinsk Alumina Refinery,,,,Refinery,Processing,"Alumina, Calcined soda",Sinter plant,1970,,,,,,Russian Federation,RUS,RUS.35_1,RUS.35.2_1,RUS.35.2.1_1,,det_1787,,"c(90.423973443527, 56.2346433346293)"
COM00006.00,Acindar,,,,"Smelter, Refinery",Processing,"Steel, rebar, steel bar, steel meshes, wire rod, barbed wire","Direct reduction iron plant, electric arc furnace, ladle furnace, continuous casting, rolling mills, drawing mill",,,,,,,Argentina,ARG,ARG.1_1,ARG.1.111_1,,,det_1760,,"c(-60.1958780054306, -33.3396512648119)"
COM00007.00,AGA Mineracao,,,,Mine,Gold,Gold,"Underground, Open pit, Heap leaching plant",,,,,,,Brazil,BRA,BRA.13_1,BRA.13.662_1 ; BRA.13.672_1,BRA.13.662.2_1 ; BRA.13.662.4_1 ; BRA.13.672.1_1 ; BRA.13.672.2_1,,det_1065,,"c(-43.7390681309372, -43.7698002080895, -43.5184317714207, -43.4725148355485, -19.8677251653997, -19.9094225229836, -20.0153439395972, -19.9641879251594)"
COM00008.00,Aguablanca,,,,Mine,Nickel,"Nickel, Copper, Cobalt, Gold, PGM",Underground,2005,2016,,,,,Spain,ESP,ESP.11_1,ESP.11.1_1,ESP.11.1.10_1,ESP.11.1.10.11_1,det_1593,,"c(-6.1803272, 37.9655848)"
COM00009.00,Ahafo,,,,Mine,Gold,Gold,"Open pit, Underground",2006,,,,,,Ghana,GHA,GHA.2_1,GHA.2.3_1,,,det_1001,,"c(-2.36131794386411, -2.30702640457278, 6.99982947971453, 7.08544919320984)"
COM00010.00,AHMSA Monclova Steel Plant,,,,"Smelter, Refinery",Processing,"Crude Steel, Hot-rolled steel sheet, Steel plate, Chrome plate, Tin plate, Cold-rolled sheet, Structural steel profiles","Blast furnace, Basic oxygen furnace, Electric arc furnace, Pellet plant, Sinter plant, Coke plant, Rolling mills, Continuous casters, cold rolling mill",,,,,,,Mexico,MEX,MEX.7_1,MEX.7.6_1 ; MEX.7.18_1,,,det_1974,,"c(-101.41423265335, -101.454775589009, 26.8768332638536, 26.8849126486437)"
COM00011.00,Air Quality,Air Quality No. 1,,,Mine,Coal,Thermal coal,Underground,,2012,,,,,United States of America,USA,USA.15_1,USA.15.42_1,,,det_3136,,"c(-87.44688, 38.627759)"
COM00012.00,Airly,,,,Mine,Coal,Coal,Underground,,,,,,,Australia,AUS,AUS.5_1,AUS.5.83_1,,,det_3018,,"c(150.028606849024, -33.1152514659335)"
COM00013.00,Aitik,,,,Mine,Copper,"Copper, Silver, Gold",Open pit,,,,,,,Sweden,SWE,SWE.10_1,SWE.10.5_1,,,det_1126,,"c(20.963623, 67.0750732)"
COM00014.00,Akbastau,,,,Mine,Copper,"Copper, Zinc, Gold, Silver",,,,,,,,Kazakhstan,KAZ,KAZ.5_1,KAZ.5.2_1,,,det_1125,,"c(77.7057287218153, 48.6268186061024)"
COM00015.00,Aktogay,,,,Mine,Copper,"Copper, Silver, Copper cathode, Gold","Open pit, Heap leaching plant",2015,,,,,,Kazakhstan,KAZ,KAZ.5_1,KAZ.5.2_1,,,det_1339,,"c(79.9318158, 46.9524266)"
COM00016.00,Akyem,,,,Mine,Gold,Gold,Open pit,2013,,,,,,Ghana,GHA,GHA.4_1,GHA.4.6_1,,,det_1002,,"c(-1.0231409, 6.3456449)"
COM00017.00,Al Ba’itha,,,,Mine,Aluminium,Bauxite,Open pit,2014,,,,,,Saudi Arabia,SAU,SAU.9_1,,,,det_1768,,"c(43.9866716, 27.6716284)"
COM00018.00,Alamo Dorado,,,,Mine,Silver,"Silver, Gold, Copper","Open pit, Leaching plant",2007,2017,,,,,Mexico,MEX,MEX.26_1,MEX.26.3_1,,,det_1984,,"c(-108.6626179, 26.7519355)"
COM00019.00,Albras,,,,Smelter,Processing,Aluminium,,,,,,,,Brazil,BRA,BRA.14_1,BRA.14.18_1,BRA.14.18.2_1,,det_1377,,"c(-48.7337352645784, -1.55416029493127)"
COM00020.00,Alexievskaya,"Aleksiyevskaya, Leninskoye",,,Mine,Coal,Coal,,1964,,,,,,Russian Federation,RUS,RUS.27_1,RUS.27.13_1,RUS.27.13.1_1,,det_2685,,"c(86.3263739432228, 54.6164465166883)"
COM00021.00,Aljustrel,,,,Mine,Zinc,"Zinc, Lead",,2007,,,,,,Portugal,PRT,PRT.3_1,PRT.3.1_1,PRT.3.1.1_1,,det_1595,,"c(-8.1532132, 37.8766167)"
