alphanumiso;material_id;year;ratio_ore_per_met
ALB008;Me.Cu;1994;719.8346510828463
ARG032;Me.Ag;1993;2324.1928529211104
ARG032;Me.Ag;1999;1066.3651634001353
ARG032;Me.Ag;2000;1387.4064419820947
ARG032;Me.Ag;2001;4414.523870010039
ARG032;Me.Ag;2002;8367.678583026567
ARG032;Me.Ag;2003;1726.1490861319598
ARG032;Me.Ag;2005;1179.462316882824
ARG032;Me.Ag;2006;2935.3109794607553
ARG032;Me.Ag;2007;2758.3599739065985
ARG032;Me.Ag;2008;2566.9449266880447
ARG032;Me.Ag;2009;4459.626147364131
ARG032;Me.Ag;2010;4482.911704494224
ARG032;Me.Ag;2011;5057.940502968697
ARG032;Me.Ag;2012;6076.619600229692
ARG032;Me.Ag;2013;6020.0325294945005
ARG032;Me.Ag;2014;4649.073970836717
ARG032;Me.Ag;2015;4234.613368592643
ARG032;Me.Ag;2016;5401.490148170862
ARG032;Me.Ag;2017;5112.717100654037
ARG032;Me.Ag;2018;3370.999343877438
ARG032;Me.Ag;2019;2731.0473233894845
ARG032;Me.Au;1999;69293.38417757502
ARG032;Me.Au;2000;90154.94025345758
ARG032;Me.Au;2001;393864.3006802631
ARG032;Me.Au;2002;543739.4118158725
ARG032;Me.Au;2003;482820.21230883413
ARG032;Me.Au;2004;565005.9191079738
ARG032;Me.Au;2005;693553.9849379862
ARG032;Me.Au;2006;703968.8372899547
ARG032;Me.Au;2007;919574.4485553704
ARG032;Me.Au;2008;970942.2883336578
ARG032;Me.Au;2009;1018138.7175064142
ARG032;Me.Au;2010;888174.8115606433
ARG032;Me.Au;2011;1009540.8577977851
ARG032;Me.Au;2012;999046.7541633946
ARG032;Me.Au;2013;1097558.9734049544
ARG032;Me.Au;2014;978682.7114937443
ARG032;Me.Au;2015;899148.086144284
ARG032;Me.Au;2016;985214.9465783079
ARG032;Me.Au;2017;837346.0443448677
ARG032;Me.Au;2018;683272.8672718073
ARG032;Me.Au;2019;811352.8264094066
ARG032;Me.Cu;2001;90.85077603224534
ARG032;Me.Cu;2002;96.42947287693299
ARG032;Me.Cu;2003;111.97997201188618
ARG032;Me.Cu;2004;127.36364069781857
ARG032;Me.Cu;2005;131.0048692455819
