material_category;material_category_2;material_id;material_name;material_id_agg;material_name_agg;associated_commodity;formerly_associated_wu_id
mineral;metal ore;O.Al;Bauxite;;;Me.Al;10
mineral;metal ore;O.Be;Beryl;;;Me.Be;11
mineral;metal ore;O.bulk;Bulk metal ore;;;;
mineral;metal ore;O.Cr;Chromium ore;;;Me.Cr;15
mineral;metal ore;O.Co;Cobalt ore;;;Me.Co;16
mineral;metal ore;O.NbTa;Coltan;;;Me.Ta;29
mineral;metal ore;O.Nb;Columbite, niobium ore;;;Me.Nb;29
mineral;metal ore;O.Cu;Copper dominated ore;;;Me.Cu;17
mineral;metal ore;O.Fe;Ferrous ore;;;Me.Fe;7
mineral;metal ore;O.Au;Gold dominated ore;;;Me.Au;20
mineral;metal ore;O.FeTiO;Ilmenite;;;Me.Ti;38
mineral;metal ore;O.Pb;Lead dominated ore;;;Me.Pb;22
mineral;metal ore;O.leu;Leucoxene;;;Me.Ti;38
mineral;metal ore;O.Li;Lithium ore;;;Me.Li;23
mineral;metal ore;O.MgCO;Magnesite;;;Me.Mg;81
mineral;metal ore;O.Mn;Manganese ore;;;Me.Mn;25
mineral;metal ore;O.Mo;Molybdenum ore;;;Me.Mo;27
mineral;metal ore;O.CeLaPO4;Monazite;;;Me.rem;340
mineral;metal ore;O.Ni;Nickel dominated ore;;;Me.Ni;28
mineral;metal ore;O.pgm;Platinum-group metal ore;;;Me.pgm;30
mineral;metal ore;O.K2O;Potash;;;;86
mineral;metal ore;O.rem;Rare-earth mineral;;;Me.rem;31
mineral;metal ore;O.TiO;Rutile;;;Me.Ti;38
mineral;metal ore;O.Ag;Silver dominated ore;;;Me.Ag;34
mineral;metal ore;O.Sr;Strontium mineral;;;Me.Sr;35
mineral;metal ore;O.Ta;Tantalite, tantalum ore;;;Me.Ta;29
mineral;metal ore;O.Sn;Tin dominated ore;;;Me.Sn;37
mineral;metal ore;O.W;Tungsten ore;;;Me.W;39
mineral;metal ore;O.U;Uranium ore;;;Me.U;40
mineral;metal ore;O.Zn;Zinc dominated ore;;;Me.Zn;42
mineral;metal ore;O.Zr;Zircon;;;Me.Zr;43
mineral;non-metallic mineral;M.abr;Abrasives, natural (puzzolan, pumice, volcanic cinder etc.);;;;70
mineral;non-metallic mineral;M.amb;Amber;;;;71
mineral;non-metallic mineral;M.asb;Asbestos;;;;94
mineral;non-metallic mineral;M.asp;Asphalt;;;;104
mineral;non-metallic mineral;M.bac;Ball clay;;;;49
mineral;non-metallic mineral;M.bar;Barite;;;;72
mineral;non-metallic mineral;M.ben;Bentonite, sepiolite and attapulgite;;;;50
mineral;non-metallic mineral;M.bor;Borate minerals;;;;73
mineral;non-metallic mineral;M.brs;Brine salt;;;;344
mineral;non-metallic mineral;M.bro;Bromine;;;;337
mineral;non-metallic mineral;M.cal;Calcite;;;;60
mineral;non-metallic mineral;M.cha;Chalk;;;;61
mineral;non-metallic mineral;M.chf;Chert and flint;;;;62
mineral;non-metallic mineral;M.coc;Common clay, clay for bricks etc.;;;;105
mineral;non-metallic mineral;M.con;Construction Minerals nec;;;;109
mineral;non-metallic mineral;M.crs;Crushed stone;;;;68
mineral;non-metallic mineral;M.dia;Diatomite;;;;76
mineral;non-metallic mineral;M.dol;Dolomite;;;;63
mineral;non-metallic mineral;M.evs;Evaporated salt;;;;345
mineral;non-metallic mineral;M.fel;Feldspar;;;;77
mineral;non-metallic mineral;M.fic;Fire, refactory and flint clay, Andalusite, kyanite and sillimanite;;;;51
mineral;non-metallic mineral;M.flu;Fluorspar;;;;78
mineral;non-metallic mineral;M.fue;Fuller's earth;;;;52
mineral;non-metallic mineral;M.glu;Gluesand;;;;95
mineral;non-metallic mineral;M.gra;Graphite, natural;;;;79
mineral;non-metallic mineral;M.gya;Gypsum and anhydrite;;;;96
mineral;non-metallic mineral;M.ign;Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.);;;;64
mineral;non-metallic mineral;M.ill;Illite;;;;353
mineral;non-metallic mineral;M.ins;Industrial sand;;;;57
mineral;non-metallic mineral;M.iod;Iodine;;;;339
mineral;non-metallic mineral;M.irp;Iron ore for pigments;;;;80
mineral;non-metallic mineral;M.AlSiO;Kaolin;;;;53
mineral;non-metallic mineral;M.lat;Laterite;;;;352
mineral;non-metallic mineral;M.lav;Lavasand;;;;107
mineral;non-metallic mineral;M.lim;Limestone;;;;65
mineral;non-metallic mineral;M.loa;Loam;;;;106
mineral;non-metallic mineral;M.mag;Magnesite;;;;81
mineral;non-metallic mineral;M.mat;Marble, travertines etc.;;;;100
mineral;non-metallic mineral;M.mas;Marl and shell;;;;351
mineral;non-metallic mineral;M.mic;Mica;;;;82
mineral;non-metallic mineral;M.nep;Nepheline syenite;;;;341
mineral;non-metallic mineral;M.och;Ochre and pigment earths;;;;83
mineral;non-metallic mineral;M.pea;Peat for agricultural use;;;;69
mineral;non-metallic mineral;M.peg;Pegmatite sand;;;;84
mineral;non-metallic mineral;M.per;Perlite;;;;97
mineral;non-metallic mineral;M.poc;Potter clay;;;;54
mineral;non-metallic mineral;M.qar;Qartz and quartzite;;;;87
mineral;non-metallic mineral;M.ros;Rock salt;;;;347
mineral;non-metallic mineral;M.sal;Salt nec;;;;348
mineral;non-metallic mineral;M.sag;Sand and gravel;;;;108
mineral;non-metallic mineral;M.sas;Sandstone;;;;66
mineral;non-metallic mineral;M.ses;Sea salt;;;;346
mineral;non-metallic mineral;M.SiO2;Silica Sand;;;Nm.SiO2;58
mineral;non-metallic mineral;M.osm;Silicate minerals n.e.c.;;;;
mineral;non-metallic mineral;M.sil;Siliceous earth;;;;59
mineral;non-metallic mineral;M.slc;Slate clay;;;;56
mineral;non-metallic mineral;M.sla;Slate including fill (incl. roof slate);;;;67
mineral;non-metallic mineral;M.soc;Sodium carbonate, natural;;;;343
mineral;non-metallic mineral;M.spc;Special clay;;;;55
mineral;non-metallic mineral;M.tal;Talc (steatite, soapstone, pyrophyllite);;;;92
mineral;non-metallic mineral;M.tas;Talcous slate;;;;93
mineral;non-metallic mineral;M.tur;Turfaceous rock;;;;103
mineral;non-metallic mineral;M.ver;Vermiculite;;;;316
mineral;non-metallic mineral;M.wol;Wollastonite;;;;317
mineral;non-metallic mineral ore;O.dig;Diamond ore, gems;O.dia;Diamonds (unspecified);Nm.dig;74
mineral;non-metallic mineral ore;O.dii;Diamond ore, industrial;O.dia;Diamonds (unspecified);Nm.dii;75
mineral;non-metallic mineral ore;O.P;Phosphate rock;;;Nm.P;85
mineral;non-metallic mineral ore;O.FeS;Pyrite;;;Nm.S;89
mineral;non-metallic mineral ore;O.S;Sulphur ore;;;Nm.S;89
commodity;metal compound;Me.AlO;Alumina;;;Me.Al;
commodity;metal;Me.Al;Aluminium;;;;10
commodity;metal compound;Me.AlF3;Aluminium fluoride;;;Me.Al;
commodity;metal;Me.Sb;Antimony;;;;8
commodity;metal;Me.As;Arsenic;;;;9
commodity;metal compound;Me.AsO;Arsenic oxide;;;Me.As;9
commodity;metal compound;Me.AsCu;Arsenical copper;;;Me.As;9
commodity;metal;Me.Be;Beryllium;;;;11
commodity;metal;Me.Bi;Bismuth;;;;12
commodity;metal compound;Me.H3BO3;Boric Acid;;;;73
