variable;entries
activity_status;stopped 31.12.2013
activity_status;in development
activity_status;construction
activity_status;Project
activity_status;Under construction
activity_status;Advanced exploration
activity_status;Exploration
activity_status;active
activity_status;inactive
type_mineral;Ore mined
type_mineral;Ore Mined
type_mineral;Concentrate
type_mineral;Ore processed
type_mineral;Coal mined
type_mining;Open pit
type_mining;Underground
type_mining;Surface
type_mining;Open Pit
type_mining;Leaching
type_mining;Heap leach
type_mining;Open pit, Underground
type_mining;Dump leach
type_mining;Underground, Open pit
type_mining;Stockpiles
type_mining;-
type_mining;Open Pits
type_mining;underground
type_mining;Leach
type_mining;Autoclave
type_mining;Heap Leach
type_mining;Open Pit, Underground
mine_processing;SX-EW
mine_processing;Heap leaching
mine_processing;Merrill-Crowe
type_facility;Smelter
type_facility;Refinery
type_facility;Rod plant
type_mining;Leach Pad
type_mining;Open pit and Underground
type_mining;Dump leach ore
type_mining;Underground, Surface
type_mining;Undergrpund
type_mining;Flotation
type_mining;Dump Leach
type_mining;Vat and Heap Leach
waste_type;Waste rock
waste_type;Dry tailings
waste_type;Acid produced
waste_type;Surplus acid
mining_type;Open Pit
mining_type;Underground
