sheet_country;alphanumiso;country
Afghanistan;AFG004;Afghanistan
Albania;ALB008;Albania
Algeria;DZA012;Algeria
American Samoa;ASM016;American Samoa
Andorra;AND020;Andorra
Angola;AGO024;Angola
Anguilla;AIA660;Anguilla
Antigua and Barbuda;ATG028;Antigua and Barbuda
Argentina;ARG032;Argentina
Armenia;ARM051;Armenia
Aruba;ABW533;Aruba
Australia;AUS036;Australia
Austria;AUT040;Austria
Azerbaijan;AZE031;Azerbaijan
Bahamas;BHS044;Bahamas
Bahrain;BHR048;Bahrain
Bangladesh;BGD050;Bangladesh
Barbados;BRB052;Barbados
Belarus;BLR112;Belarus
Belgium;BEL056;Belgium
Belgium-Luxemburg;BLGLUX;Belgium-Luxemburg
Belize;BLZ084;Belize
Benin;BEN204;Benin
Bermuda;BMU060;Bermuda
Bhutan;BTN064;Bhutan
Bolivia;BOL068;Bolivia
Bonaire;BES535;Bonaire
Bosnia and Herzegovina;BIH070;Bosnia and Herzegovina
Botswana;BWA072;Botswana
Brazil;BRA076;Brazil
British Indian Ocean Territory;IOT086;British Indian Ocean Territory
British Virgin Islands;VGB092;British Virgin Islands
Brunei Darussalam;BRN096;Brunei Darussalam
Bulgaria;BGR100;Bulgaria
Burkina Faso;BFA854;Burkina Faso
Burundi;BDI108;Burundi
Cambodia;KHM116;Cambodia
Cameroon;CMR120;Cameroon
Canada;CAN124;Canada
Cape Verde;CPV132;Cape Verde
Cayman Islands;CYM136;Cayman Islands
Central African Republic;CAF140;Central African Republic
Chad;TCD148;Chad
Chile;CHL152;Chile
China;CHN156;China
Christmas Island;CXR162;Christmas Island
Cocos (Keeling) Islands;CCK166;Cocos (Keeling) Islands
Colombia;COL170;Colombia
Comoros;COM174;Comoros
Cook Islands;COK184;Cook Islands
Costa Rica;CRI188;Costa Rica
Cote d'Ivoire;CIV384;Cote d'Ivoire
Côte d'Ivoire;CIV384;Cote d'Ivoire
C�te d'Ivoire;CIV384;Cote d'Ivoire
Croatia;HRV191;Croatia
Cuba;CUB192;Cuba
Curaçao;CUW531;Curaçao
Cyprus;CYP196;Cyprus
Czech Republic;CZE203;Czech Republic
Czechoslovakia;CSK200;Czechoslovakia
Democratic Republic of Congo;COD180;DR Congo
Democratic Republic of the Congo (DRC);COD180;DR Congo
DR Congo;COD180;DR Congo
Denmark;DNK208;Denmark
Djibouti;DJI262;Djibouti
Dominica;DMA212;Dominica
Dominican Republic;DOM214;Dominican Republic
East Germany;DDR278;East Germany
Ecuador;ECU218;Ecuador
Egypt;EGY818;Egypt
El Salvador;SLV222;El Salvador
Equatorial Guinea;GNQ226;Equatorial Guinea
Eritrea;ERI232;Eritrea
Estonia;EST233;Estonia
Ethiopia;ETH231;Ethiopia
Ethiopia (Former);ETH230;Ethiopia (Former)
Falkland Islands (Malvinas);FLK238;Falkland Islands (Malvinas)
Faroe Islands;FRO234;Faroe Islands
Fiji;FJI242;Fiji Islands
Fiji Islands;FJI242;Fiji Islands
Finland;FIN246;Finland
France;FRA250;France
French Guiana;GUF254;French Guiana
French Polynesia;PYF258;French Polynesia
Gabon;GAB266;Gabon
Gambia;GMB270;Gambia
Georgia;GEO268;Georgia
Germany;DEU276;Germany
Ghana;GHA288;Ghana
Gibraltar;GIB292;Gibraltar
Greece;GRC300;Greece
Greenland;GRL304;Greenland
Grenada;GRD308;Grenada
Guadeloupe;GLP312;Guadeloupe
Guam;GUM316;Guam
Guatemala;GTM320;Guatemala
Guinea;GIN324;Guinea
Guinea-Bissau;GNB624;Guinea-Bissau
Guyana;GUY328;Guyana
Haiti;HTI332;Haiti
Honduras;HND340;Honduras
Hong Kong;HKG344;Hong Kong
Hungary;HUN348;Hungary
Iceland;ISL352;Iceland
India;IND356;India
Indonesia;IDN360;Indonesia
Iran;IRN364;Iran
Iraq;IRQ368;Iraq
Ireland;IRL372;Ireland
Israel;ISR376;Israel
Italy;ITA380;Italy
Ivory Coast;CIV384;Cote d'Ivoire
Jamaica;JAM388;Jamaica
Japan;JPN392;Japan
Jordan;JOR400;Jordan
Kazakhstan;KAZ398;Kazakhstan
Kenya;KEN404;Kenya
Kingdom of Saudi Arabia;SAU682;Saudi Arabia
Kiribati;KIR296;Kiribati
Kosovo;UNK000;Kosovo
Kuwait;KWT414;Kuwait
Kyrgyzstan;KGZ417;Kyrgyzstan
Laos;LAO418;Laos
Latvia;LVA428;Latvia
Lebanon;LBN422;Lebanon
Lesotho;LSO426;Lesotho
Liberia;LBR430;Liberia
Libya;LBY434;Libya
Liechtenstein;LIE438;Liechtenstein
Lithuania;LTU440;Lithuania
Luxembourg;LUX442;Luxembourg
Macau;MAC446;Macau
Macedonia;MKD807;Macedonia
Madagascar;MDG450;Madagascar
Malawi;MWI454;Malawi
Malaysia;MYS458;Malaysia
Maldives;MDV462;Maldives
Mali;MLI466;Mali
Malta;MLT470;Malta
Marshall Islands;MHL584;Marshall Islands
Martinique;MTQ474;Martinique
Mauritania;MRT478;Mauritania
Mauritius;MUS480;Mauritius
Mayotte;MYT175;Mayotte
Mexico;MEX484;Mexico
Micronesia;FSM583;Micronesia
Moldova;MDA498;Moldova
Monaco;MCO492;Monaco
Mongolia;MNG496;Mongolia
Montenegro;MNE499;Montenegro
Montserrat;MSR500;Montserrat
Morocco;MAR504;Morocco
Mozambique;MOZ508;Mozambique
Myanmar;MMR104;Myanmar
Namibia;NAM516;Namibia
Nauru;NRU520;Nauru
Nepal;NPL524;Nepal
Netherlands;NLD528;Netherlands
Netherlands Antilles;ANT530;Netherlands Antilles
New Caledonia;NCL540;New Caledonia
New Zealand;NZL554;New Zealand
Nicaragua;NIC558;Nicaragua
Niger;NER562;Niger
Nigeria;NGA566;Nigeria
Niue;NIU570;Niue
Norfolk Island;NFK574;Norfolk Island
North Korea;PRK408;North Korea
North Yemen;YEM886;North Yemen
Northern Mariana Islands;MNP580;Northern Mariana Islands
Norway;NOR578;Norway
Oman;OMN512;Oman
Pakistan;PAK586;Pakistan
Palau;PLW585;Palau
Palestine;PSE275;Palestine
Panama;PAN591;Panama
Papua New Guinea;PNG598;Papua New Guinea
Paraguay;PRY600;Paraguay
Peru;PER604;Peru
Philippines;PHL608;Philippines
Pitcairn Islands;PCN612;Pitcairn Islands
