unit_cat,unit_id,material_id,waste_type,conv_factor_t,conv_factor_ppm,conv_factor_sqkm
mass,t,,,1,,
mass,Kt,,,1000,,
mass,Mt,,,1000000,,
mass,100Mt,,,100000000,,
mass,Gt,,,1000000000,,
mass,wmt,,,1,,
mass,Kwmt,,,1000,,
mass,Mwmt,,,1000000,,
mass,g,,,0.000001,,
mass,Kg,,,0.001,,
mass,ct,,,2.00E-07,,
mass,Kct,,,0.0002,,
mass,st,,,0.9072,,
mass,Kst,,,907.2,,
mass,Mst,,,907200,,
mass,lt,,,1.016047,,
mass,Klt,,,1016.047,,
mass,Mlt,,,1016047,,
mass,Mwlt,,,1016047,,
mass,lb,,,0.000453592,,
mass,Klb,,,0.45359237,,
mass,Mlb,,,453.59237,,
mass,Glb,,,453592.37,,
mass,oz,,,2.83E-05,,
mass,Koz,,,0.028349523,,
mass,Moz,,,28.34952313,,
mass,ozt,,,3.11E-05,,
mass,Kozt,,,0.031103477,,
mass,Mozt,,,31.1034768,,
mass,mtu,,,1,,
grade,pct,,,,10000,
grade,g/t,,,,1,
grade,oz/t,,,,28.34952313,
grade,decimal,,,,1000000,
grade,ct/t,,,,0.2,
grade,Kg/t,,,,1000,
grade,ppm,,,,1,
grade,ozt/t,,,,31.1034768,
volume,cm,,,1.22,,
volume,cm,M.spc,,1.22,,
volume,cm,M.SiO,,1.22,,
volume,cm,M.cha,,1.22,,
volume,cm,M.ign,,1.22,,
volume,cm,M.lim,,1.22,,
volume,cm,M.crs,,1.22,,
volume,cm,M.abr,,1.22,,
volume,cm,M.sag,,1.22,,
volume,cm,-,Waste rock,1.22,,
volume,cm,-,Dry tailings,1.22,,
volume,cm,-,Tailings,1.22,,
volume,Kcm,,,1220,,
volume,Kcm,M.SiO,,1220,,
volume,Kcm,M.cha,,1220,,
volume,Kcm,M.dol,,1220,,
volume,Kcm,M.ign,,1220,,
volume,Kcm,M.lim,,1220,,
volume,Kcm,M.sas,,1220,,
volume,Kcm,M.crs,,1220,,
volume,Kcm,M.abr,,1220,,
volume,Kcm,M.sag,,1220,,
volume,Kcm,-,Waste rock,1220,,
volume,Kcm,-,Dry tailings,1220,,
volume,Kcm,-,Tailings,1220,,
volume,Mcm,,,1220000,,
volume,Mcm,M.spc,,1220000,,
volume,Mcm,M.SiO,,1220000,,
volume,Mcm,M.cha,,1220000,,
volume,Mcm,M.ign,,1220000,,
volume,Mcm,M.lim,,1220000,,
volume,Mcm,M.crs,,1220000,,
volume,Mcm,M.abr,,1220000,,
volume,Mcm,M.sag,,1220000,,
volume,Mcm,-,Waste rock,1220000,,
volume,Mcm,-,Dry tailings,1220000,,
volume,Mcm,-,Tailings,1220000,,
volume,Gcm,,,1220000000,,
volume,Gcm,M.spc,,1220000000,,
volume,Gcm,M.SiO,,1220000000,,
volume,Gcm,M.cha,,1220000000,,
volume,Gcm,M.ign,,1220000000,,
volume,Gcm,M.lim,,1220000000,,
volume,Gcm,M.crs,,1220000000,,
volume,Gcm,M.abr,,1220000000,,
volume,Gcm,M.sag,,1220000000,,
volume,Gcm,-,Waste rock,1220000000,,
volume,Gcm,-,Dry tailings,1220000000,,
volume,Gcm,-,Tailings,1220000000,,
volume,bcm,,,1.22,,
volume,bcm,M.spc,,1.22,,
volume,bcm,M.SiO,,1.22,,
volume,bcm,M.cha,,1.22,,
volume,bcm,M.ign,,1.22,,
volume,bcm,M.lim,,1.22,,
volume,bcm,M.crs,,1.22,,
volume,bcm,M.abr,,1.22,,
volume,bcm,M.sag,,1.22,,
volume,bcm,-,Waste rock,1.22,,
volume,bcm,-,Dry tailings,1.22,,
volume,bcm,-,Tailings,1.22,,
volume,Kbcm,,,1220,,
volume,Kbcm,M.spc,,1220,,
volume,Kbcm,M.SiO,,1220,,
volume,Kbcm,M.cha,,1220,,
volume,Kbcm,M.ign,,1220,,
volume,Kbcm,M.lim,,1220,,
volume,Kbcm,M.crs,,1220,,
volume,Kbcm,M.abr,,1220,,
volume,Kbcm,M.sag,,1220,,
volume,Kbcm,-,Waste rock,1220,,
volume,Kbcm,-,Dry tailings,1220,,
volume,Kbcm,-,Tailings,1220,,
volume,Mbcm,,,1220000,,
volume,Mbcm,M.spc,,1220000,,
volume,Mbcm,M.SiO,,1220000,,
volume,Mbcm,M.cha,,1220000,,
volume,Mbcm,M.ign,,1220000,,
volume,Mbcm,M.lim,,1220000,,
volume,Mbcm,M.crs,,1220000,,
volume,Mbcm,M.abr,,1220000,,
volume,Mbcm,M.sag,,1220000,,
volume,Mbcm,-,Waste rock,1220000,,
volume,Mbcm,-,Dry tailings,1220000,,
volume,Mbcm,-,Tailings,1220000,,
volume,cf,F.nag,,1.95E-05,,
volume,Kcf,F.nag,,0.0195228,,
volume,Mcf,F.nag,,19.5228,,
volume,Gcf,F.nag,,19522.8,,
volume,Tcf,F.nag,,19522800,,
volume,l,,,,,
volume,Kl,,,,,
volume,Ml,,,,,
volume,bpd,F.ngl,,35.09615385,,
volume,Kbpd,F.ngl,,35096.15385,,
volume,Mbpd,F.ngl,,35096153.85,,
energy,TJ,F.nag,,18,,
area,sq.km,,,,,1
area,ha,,,,,0.01
area,ac,,,,,0.0040469
