sheet;variable;unit
general;unit_surface_area;square kilometer
general;unit_concession_area;square kilometers
general;unit_concession_area;square kilometer
general;unit_concession_area;hectar
minerals_ores_conce;unit;million short tons
minerals_ores_conce;unit;wmt
minerals_ores_conce;unit;000 wet metric tonnes
minerals_ores_conce;unit;dry tonnes
minerals_ores_conce;unit;million dry tons
minerals_ores_conce;unit;short tons
minerals_ores_conce;unit;Tonnes
minerals_ores_conce;unit;wet metric tonnes
commodities;unit;Koz
commodities;unit;pounds
commodities;unit;Tonnes
commodities;unit;metric ton unit (mtu)
commodities;grade_or_yield_unit;troy ounces/t
commodities;grade_or_yield_unit;ounces/ton
processing;process_output_unit;Tons
transport;unit;million dry tons
transport;unit;wet metric tonnes
capacity_reserves;processing_capacity_unit;tpa
capacity_reserves;processing_capacity_unit;thousand metric tonnes per year
capacity_reserves;processing_capacity_unit;tonnes per year
capacity_reserves;processing_capacity_unit;million tpa
capacity_reserves;reserves_mineral_unit;million recoverable tonnes
capacity_reserves;reserves_mineral_unit;billion tonnes
capacity_reserves;reserves_mineral_unit;100 million tonnes
capacity_reserves;reserves_mineral_unit;million short tons
capacity_reserves;reserves_mineral_unit;million recoverable metric tons
capacity_reserves;reserves_mineral_unit;Thousand dry metric tonnes
capacity_reserves;reserves_mineral_unit;wet metric tonnes
capacity_reserves;reserves_commodity_unit;Koz
waste;unit;bank cubic meters
waste;unit;wmt
waste;unit;Bank cubic metres
waste;unit;1465.0
waste;unit;3010.0
waste;unit;816.0
waste;unit;429.0
waste;unit;1197.0
waste;unit;1407.0
waste;unit;279.4
waste;unit;905.8
waste;unit;2655.0
waste;unit;1276.0
waste;unit;11138.0
waste;unit;1457.0
waste;unit;210.0
waste;unit;390.0
waste;unit;262.0
waste;unit;0.0
waste;unit;236.4
waste;unit;426.8
waste;unit;235.4
waste;unit;1132.3
waste;unit;2171.0
waste;unit;14899.0
waste;unit;11358.5
waste;unit;12010.2
waste;unit;16630.6
waste;unit;10059.5
waste;unit;11.0
waste;unit;1576170.0
waste;unit;2252320.0
waste;unit;2448997.0
waste;unit;3086192.0
waste;unit;7404906.0
waste;unit;6467790.0
waste;unit;595084.0
