source;source_country_id;alphanumiso
ISO_Numeric;784;ARE784
ISO_Numeric;4;AFG004
ISO_Numeric;28;ATG028
ISO_Numeric;660;AIA660
ISO_Numeric;8;ALB008
ISO_Numeric;51;ARM051
ISO_Numeric;530;ANT530
ISO_Numeric;24;AGO024
ISO_Numeric;32;ARG032
ISO_Numeric;16;ASM016
ISO_Numeric;40;AUT040
ISO_Numeric;36;AUS036
ISO_Numeric;533;ABW533
ISO_Numeric;31;AZE031
ISO_Numeric;70;BIH070
ISO_Numeric;52;BRB052
ISO_Numeric;50;BGD050
ISO_Numeric;56;BEL056
ISO_Numeric;854;BFA854
ISO_Numeric;100;BGR100
ISO_Numeric;48;BHR048
ISO_Numeric;108;BDI108
ISO_Numeric;204;BEN204
ISO_Numeric;60;BMU060
ISO_Numeric;96;BRN096
ISO_Numeric;68;BOL068
ISO_Numeric;76;BRA076
ISO_Numeric;44;BHS044
ISO_Numeric;64;BTN064
ISO_Numeric;72;BWA072
ISO_Numeric;112;BLR112
ISO_Numeric;84;BLZ084
ISO_Numeric;124;CAN124
ISO_Numeric;166;CCK166
ISO_Numeric;180;COD180
ISO_Numeric;140;CAF140
ISO_Numeric;178;COG178
ISO_Numeric;756;CHE756
ISO_Numeric;384;CIV384
ISO_Numeric;184;COK184
ISO_Numeric;152;CHL152
ISO_Numeric;120;CMR120
ISO_Numeric;156;CHN156
ISO_Numeric;170;COL170
ISO_Numeric;188;CRI188
ISO_Numeric;200;CSK200
ISO_Numeric;192;CUB192
ISO_Numeric;132;CPV132
ISO_Numeric;162;CXR162
ISO_Numeric;196;CYP196
ISO_Numeric;203;CZE203
ISO_Numeric;276;DEU276
ISO_Numeric;278;DDR278
ISO_Numeric;280;DEU280
ISO_Numeric;262;DJI262
ISO_Numeric;208;DNK208
ISO_Numeric;212;DMA212
ISO_Numeric;214;DOM214
ISO_Numeric;12;DZA012
ISO_Numeric;218;ECU218
ISO_Numeric;233;EST233
ISO_Numeric;818;EGY818
ISO_Numeric;232;ERI232
ISO_Numeric;724;ESP724
ISO_Numeric;231;ETH231
ISO_Numeric;230;ETH230
ISO_Numeric;246;FIN246
ISO_Numeric;242;FJI242
ISO_Numeric;238;FLK238
ISO_Numeric;583;FSM583
ISO_Numeric;234;FRO234
ISO_Numeric;250;FRA250
ISO_Numeric;266;GAB266
ISO_Numeric;826;GBR826
ISO_Numeric;308;GRD308
ISO_Numeric;268;GEO268
ISO_Numeric;254;GUF254
ISO_Numeric;288;GHA288
ISO_Numeric;292;GIB292
ISO_Numeric;304;GRL304
ISO_Numeric;270;GMB270
ISO_Numeric;324;GIN324
ISO_Numeric;312;GLP312
ISO_Numeric;226;GNQ226
ISO_Numeric;300;GRC300
ISO_Numeric;320;GTM320
ISO_Numeric;316;GUM316
ISO_Numeric;624;GNB624
ISO_Numeric;328;GUY328
ISO_Numeric;340;HND340
ISO_Numeric;191;HRV191
ISO_Numeric;332;HTI332
ISO_Numeric;348;HUN348
